2016	1	103.4
2016	2	101.9
2016	3	108.7
2016	4	95.3
2016	5	102.6
2016	6	106.1
2016	7	103.8
2016	8	103.5
2016	9	101.6
2016	10	104.3
2016	11	104.5
2016	12	103.3
2017	1	103.8
2017	2	103.1
2017	3	109.5
2017	4	98.7
2017	5	104.9
2017	6	105.5
2017	7	104.9
2017	8	108.6
2017	9	107.7
2017	10	108.6
2017	11	108.9
2017	12	107.7
2018	1	108.7
2018	2	103.6
2018	3	110.3
2018	4	97.7
2018	5	105.7
2018	6	105
2018	7	106.1
2018	8	109.3
2018	9	106.7
2018	10	110.8
2018	11	107.4
2018	12	109
2019	1	108.8
2019	2	104.2
2019	3	116.5
2019	4	96.9
2019	5	106.1
2019	6	107.3
2019	7	108.4
2019	8	112
2019	9	107.3
2019	10	112.1
2019	11	108.8
2019	12	108.6
2020	1	108.1
2020	2	103.9
2020	3	83.8
2020	4	49.7
2020	5	79
2020	6	92.8
2020	7	111.1
2020	8	102.1
2020	9	108.4
2020	10	108.1
2020	11	106.9
2020	12	110.7
2021	1	108.3
2021	2	99.2
2021	3	119.6
2021	4	93.9
2021	5	93.2
2021	6	97.2
2021	7	109.7
2021	8	105.2
2021	9	100.3
2021	10	109.5
2021	11	106.2
2021	12	107.4
2022	1	100.9
2022	2	101.2
2022	3	107.9
2022	4	87.3
2022	5	90.8
2022	6	96.5
2022	7	85.6
2022	8	90.7
2022	9	90.9
2022	10	86.6
2022	11	81
2022	12	80.2
2023	1	87.4
2023	2	84.1
2023	3	90.9
2023	4	80
2023	5	88
2023	6	90.1
2023	7	91.5
2023	8	90.2
2023	9	90.3
2023	10	89.3
2023	11	89.6
2023	12	87.2
2024	1	89.7
2024	2	88
2024	3	98.4
2024	4	88.1
2024	5	93.8
2024	6	92.7
2024	7	95.3
2024	8	91.2
2024	9	92.2
2024	10	95.6
2024	11	93.7
2024	12	94.8
2025	1	95.2
2025	2	93.5
2025	3	103.9
2025	4	89.6
2025	5	98.2
2025	6	98.5
2025	7	101.4
2025	8	98.2
2025	9	96.5
2025	10	100.2
2025	11	99
2025	12	99.1
2026	1	99.3
2026	2	97.3
2026	3	106.9
2026	4	90.9
2026	5	99.9
