ds,y,yhat,yhat_lower,yhat_upper
2025-04-10,129.0,116.11502143007303,107.94346774082577,124.30574678911832
2025-04-11,128.75,116.67735026925037,108.9574310808855,125.1942475736733
2025-04-16,129.0,115.8063030556107,107.29725441470694,123.62073054304712
2025-04-17,128.25,115.8135033688029,107.17813920870418,124.354789015129
2025-04-21,127.75,115.90407554237292,107.76567549793646,123.85152999000474
2025-04-22,128.5,115.44938984590858,107.23112024292129,123.42030569542403
2025-04-23,126.0,115.1801863959597,107.46542065496892,123.33945204105996
2025-04-24,127.5,115.18208207949381,107.1970355070942,123.35980920217119
2025-04-25,128.5,115.66738809802617,107.39554734701618,123.61482582016788
2025-04-28,129.0,115.38198235283691,106.94080431375471,123.49632186996254
2025-04-29,128.25,114.9813558656559,106.7785207398573,123.18896844029551
2025-04-30,132.25,114.77376823538296,106.96275435218367,123.80996718431118
2025-05-02,131.75,115.39955599889356,107.15621031910499,123.43309190677465
2025-05-05,132.0,115.33262426638484,107.18125294303005,123.20538801723349
2025-05-06,133.5,115.00071581592987,106.80910612407249,122.76442681692184
2025-05-07,133.0,114.85731813072489,106.93323152752903,122.80104395846679
2025-05-08,134.0,114.98505182241661,106.97867361486273,123.89650964540053
2025-05-09,134.75,115.5934163975036,107.46119564302927,123.8411404586846
2025-05-14,137.75,115.19601504320373,107.32196920026513,123.28859999267459
2025-05-15,140.75,115.3305707914655,107.35915162078602,123.93727329035235
2025-05-16,140.75,115.93970391477893,107.98907339466435,123.78470105083024
2025-05-19,140.75,115.95889115427894,108.42184577422591,124.13391202804942
2025-05-20,140.5,115.63511106064156,107.8494789708723,123.26371409938123
2025-05-21,140.0,115.49194055504093,107.98613795427285,123.50003471077324
2025-05-22,145.0,115.61374869737548,107.6822195481653,122.99125994121658
2025-05-23,145.0,116.21190282702621,108.3006552022429,124.89381574095117
2025-05-26,145.75,116.21777605267447,108.22912186482549,124.39564244913629
2025-05-27,146.0,115.89829596823341,107.84272764677452,124.2998463190508
2025-05-28,147.5,115.7644230356873,107.41731844547898,123.55452566428413
2025-05-29,147.0,115.90059973873565,107.68179985185871,124.04111447355295
2025-05-30,148.25,116.51806256761135,108.24393820189665,124.9159701384017
2025-06-02,147.0,116.60733633207327,108.22385464380817,124.90868605893665
2025-06-03,147.5,116.32193167082458,108.51851660327782,124.35847853486857
2025-06-04,145.5,116.22383679737746,107.94177680378104,124.71371047378793
2025-06-05,145.5,116.39650068828236,107.97052802286353,123.93692213427553
2025-06-06,146.0,117.0501256590869,108.96792401691806,125.06071954159397
2025-06-09,144.5,117.23573726902157,109.12028808917346,124.44842003636207
2025-06-11,146.25,116.89727749544106,108.62612318600983,125.31835342656143
2025-06-12,145.75,117.08458906149588,109.13516325617475,125.18518244630619
2025-06-13,143.0,117.74703548454839,109.52698721232873,125.76983970267834
2025-06-16,143.0,117.92310823372199,109.69877423315152,126.70589643879693
2025-06-17,144.75,117.64811513093805,109.95890811981381,125.77897197014126
2025-06-18,144.0,117.55067412924302,110.05886892163561,125.67231996643004
2025-06-19,143.0,117.71441276268293,109.4438741227256,125.46168424511534
2025-06-20,142.75,118.35003350518609,110.41521212553167,126.87306734452677
2025-06-23,139.25,118.43668909025723,110.46170929297362,126.57796516785353
2025-06-24,143.75,118.13277473869896,110.37163569615703,126.68704292327415
2025-06-25,145.75,118.00883767215294,110.08271221928497,126.21657469647755
2025-06-26,146.0,118.14965205658218,109.7802521102922,126.25449095333327
2025-06-27,147.0,118.76699019548806,110.4990884163384,126.83199085536646
2025-06-30,146.0,118.83554670998376,110.62844370188651,127.0832442145903
2025-07-01,147.0,118.54003219099765,110.43411733595701,126.91171097922799
2025-07-02,148.0,118.43234058772268,110.8855947401427,126.645012072552
2025-07-03,147.75,118.59731798188048,109.7257691899659,126.10455132302184
2025-07-04,149.75,119.24659657406201,110.86515284569899,127.46656466313837
