time,open,high,low,close,Basis,Upper,Lower,Volume,Bollinger Bands %b
1329969600,5420.9678,5507.6021,5420.9678,5507.6021,,,,,
1330056000,5420.9678,5566.2998,5420.9678,5566.2998,,,,,
1330315200,5420.9678,5476.5898,5420.9678,5476.5898,,,,,
1330920000,5464.8101,5464.8101,5464.8101,5464.8101,,,,,
1331006400,5477.6699,5477.6699,5477.6699,5477.6699,,,,,
1331179200,5456.5098,5456.5098,5456.5098,5456.5098,,,,,
1331265600,5456.27,5456.27,5456.27,5456.27,,,,,
1331611200,5423.2598,5423.2598,5423.2598,5423.2598,,,,,
1331697600,5418.0698,5418.0698,5418.0698,5418.0698,,,,,
1331784000,5397.2002,5397.2002,5397.2002,5397.2002,,,,,
1331870400,5449.0498,5449.0498,5449.0498,5449.0498,,,,,
1332129600,5449.46,5449.46,5449.46,5449.46,,,,,
1332216000,5414.02,5414.02,5414.02,5414.02,,,,,
1332302400,5384.1001,5384.1001,5384.1001,5384.1001,,,,,
1332388800,5349.7002,5349.7002,5349.7002,5349.7002,,,,,
1332475200,5422.3301,5422.3301,5422.3301,5422.3301,,,,,
1332734400,5430.96,5430.96,5430.96,5430.96,,,,,
1332820800,5425,5425,5425,5425,,,,,
1332907200,5416.5698,5416.5698,5416.5698,5416.5698,,,,,
1332993600,5412.04,5412.04,5412.04,5412.04,5439.875565,5530.539685000585,5349.211444999415,,0.34649073415249243
1333080000,5420.2002,5420.2002,5420.2002,5420.2002,5435.50547,5520.966800572369,5350.044139427631,,0.41045499819921877
1333339200,5398.7002,5398.7002,5398.7002,5398.7002,5427.12549,5489.352791017416,5364.8981889825845,,0.2716011337849554
1333425600,5416.6499,5416.6499,5416.6499,5416.6499,5424.128495,5482.170833686904,5366.086156313096,,0.4355763812314567
1333512000,5400.9102,5400.9102,5400.9102,5400.9102,5420.9335,5476.655132742482,5365.211867257518,,0.3203274113257087
