datetime,Close,Oil,10Y_Yield,DXY,USD_LKR,Close_LKR,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,RSI_14,BB_Middle,BB_Upper,BB_Lower,BB_Width,ROC_5,ROC_10,ROC_30,Log_Return,Volatility_7d,Volatility_30d,LKR_Vol_7d,Lag_1,Lag_7,Lag_30,Rolling_Mean_7,Rolling_Std_7,Month,Season_Wedding,MA_Cross_50_200
2015-01-01,7298.9541,,,,131.0399932861328,956454.8962597916,,,,7298.9541,7298.9541,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1,1,0
2015-01-02,7298.9541,52.689998626708984,2.122999906539917,91.08000183105469,130.99000549316406,956090.0376533524,,,,7298.9541,7298.9541,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,1,1,0
2015-01-05,7348.394,50.040000915527344,2.0390000343322754,91.37999725341797,131.14999389648438,963741.8282489624,,,,7306.560238461539,7302.616314814815,3.943923646723306,0.7887847293446613,3.1551389173786446,,,,,,,,,0.006750722030992009,,,,0.0,,,,,1,1,0
2015-01-06,7348.394,47.93000030517578,1.9630000591278076,91.5,131.1300048828125,963594.9411008301,,,,7312.996201775148,7306.007254458163,6.988947316985104,2.02881724687275,4.9601300701123545,,,,,,,,,0.0,,,,0.006750722030992009,,,,,1,1,0
2015-01-07,7420.1348,48.650001525878906,1.9539999961853027,91.88999938964844,131.4250030517578,975191.2387344543,,,,7329.47906304051,7314.461146720521,15.017916319988217,4.626637061495844,10.391279258492373,,,,,,,,,0.009715438182133315,,,,0.0,,,,,1,1,0
2015-01-08,7438.52,48.790000915527344,2.0160000324249268,92.37000274658203,131.375,977235.5650000001,,,,7346.254591803508,7323.65069140789,22.60390039561844,8.222089728320363,14.381810667298076,,,,,,1.9121356030996406,,,0.002474680195497216,,,,0.009715438182133315,,,,,1,1,0
2015-01-09,7497.5952,48.36000061035156,1.9709999561309814,91.94000244140625,131.4499969482422,985558.8661591553,,,,7369.5377622952765,7336.53546982212,33.00229247315656,13.178130277287602,19.824162195868958,,,,,,2.72150087914651,,,0.0079104248005999,,,,0.002474680195497216,,,,,1,1,0
2015-01-12,7605.792,46.06999969482422,1.9119999408721924,91.9800033569336,131.3000030517578,998640.5128110352,,,,7405.884568096003,7356.480397983444,49.40417011255886,20.423338244341856,28.980831868217003,,,,,,3.502778974562326,,,0.014327733174418641,0.005349462823025159,,0.001149670190472622,0.0079104248005999,,,0.005882714054805868,0.005349462823025159,1,1,0
2015-01-13,7566.6958,45.88999938964844,1.8899999856948853,92.30999755859375,131.47500610351562,994831.3764884461,,,,7430.624757619696,7372.05190924393,58.572848375765716,28.053240270626628,30.51960810513909,,,,,,2.9707416341584247,,,-0.0051535762685881135,0.006520476743803467,,0.0011668038268027384,0.014327733174418641,0.0,,0.005146488873578996,0.006520476743803467,1,1,0
2015-01-14,7566.7002,48.47999954223633,1.8370000123977661,92.16000366210938,131.47500610351562,994831.9549784729,,,,7451.559441062819,7386.470301151787,65.08913991103236,35.46042019870778,29.628719712324582,,,,,,1.9752390482178361,,,5.814953893031375e-07,0.006739155497454866,,0.0011368935523856406,-0.0051535762685881135,0.006750722030992009,,0.0041821830827786085,0.006739155497454866,1,1,0
2015-01-15,7566.7002,46.25,1.774999976158142,92.3499984741211,131.36000061035156,993961.7428903474,,,,7469.273403976232,7399.820664029432,69.45273994679974,42.258884148326175,27.193855798473564,,,,,,1.7231949366271815,3.6682803636208794,,0.0,0.006739155497454866,,0.0012202628880051318,5.814953893031375e-07,0.0,,0.0041821830827786085,0.006739155497454866,1,1,0
