time,open,high,low,close,Basis,Upper,Lower,Volume,Bollinger Bands %b
1329969600,36.474998,37.75,36,36.425,,,,29549200,
1330056000,36.474998,37.474998,35,35.025003,,,,2420,
1330315200,36.474998,37.474998,35,35,,,,3688,
1330920000,35.724998,35.724998,35.724998,35.724998,,,,4,
1331006400,35.724998,35.724998,35.724998,35.724998,,,,0,
1331179200,34.5,34.5,34.5,34.5,,,,624,
1331265600,34.175,35,33.75,34.175,,,,9608,
1331611200,34.349998,34.875,33.775003,34.349998,,,,8480,
1331697600,34.5,34.5,33.75,34.5,,,,16000,
1331784000,33.900003,33.900003,33.875,33.900003,,,,2000,
1331870400,33.75,35,33.75,33.75,,,,208400,
1332129600,33.75,35.25,33.75,33.75,,,,6800,
1332216000,35,35.25,33.974998,35,,,,69076,
1332302400,33.775003,35,33.75,33.775003,,,,16024,
1332388800,33.075,33.75,33.025003,33.075,,,,1640,
1332734400,34.400003,35,33.75,34.400003,,,,7200,
1332820800,34.400003,34.400003,34.400003,34.400003,,,,1204,
1332907200,33.75,33.75,33.25,33.75,,,,1960,
1332993600,34.25,34.25,34.25,34.25,,,,800,
1333080000,33.724998,33.775003,33.724998,33.724998,34.46000035,36.06408815682679,32.85591254317321,1604,0.2708970958846744
1333339200,33.125,33.525003,32.5,33.125,34.295000349999995,35.72622295812664,32.86377774187335,9944,0.09125843060450585
1333425600,32.525003,33.724998,32.25,32.525003,34.170000349999995,35.753002404330026,32.586998295669964,12128,-0.019581558817434508
1333512000,31.875,33.75,31.25,31.875,34.013750349999995,35.8368972698922,32.19060343010779,14520,-0.08655457951969472
1333944000,31.25,31.25,31.25,31.25,33.79000045,35.806333288598516,31.77366761140149,400,-0.12985644070685107
1334030400,31.25,31.25,31.25,31.25,33.56625055,35.66549312733797,31.46700797266203,400,-0.05168720733008796
1334635200,31.25,31.25,31.25,31.25,33.40375055,35.68406195713504,31.123439142864953,12840,0.0277507836734581
1334721600,31.25,32,30.125,31.25,33.257500549999996,35.69122752873226,30.82377357126773,3936,0.08756660719484093
1334894400,31,31,31,31,33.09000065,35.657363840514385,30.522637459485612,2000,0.09296747384205227
1335153600,29.275,29.3,29,29.275,32.828750649999996,35.80054705293691,29.85695424706308,1000,-0.09791287291551277
1335240000,29.25,29.625,29.25,29.25,32.5962505,35.904924479860696,29.287576520139293,5040,-0.005678486361608077
1335326400,29.25,29.275,29.25,29.25,32.371250499999995,35.93749143479511,28.80500956520488,20760,0.062389283692730196
1335412800,29.625,29.75,29.275,29.625,32.1650005,35.86312252070275,28.466878479297243,18000,0.1565823834664437
1335499200,30.35,31.2,29.75,30.35,31.932500499999996,35.46962961978173,28.395371380218265,10880,0.27630156457256394
1335758400,29,29.5,29,29,31.693750349999995,35.34398659132833,28.043514108671655,5100,0.13101698466785747
1335931200,29.275,29.5,28.85,29.275,31.503750349999997,35.241172609995004,27.76632809000499,1100,0.20183321619069933
1336017600,29.5,30,29.5,29.5,31.258750199999998,34.84393807039177,27.673562329608227,1288,0.2547199388734109
1336104000,28.875,28.875,28.875,28.875,30.98250005,34.40467401650176,27.56032608349824,200,0.19208168979288576
1336449600,28.75,28.875,28.625,28.75,30.73250005,34.03799165594946,27.427008444050532,16680,0.200120241353548
1336536000,28.525,30,28.5,28.525,30.446250049999996,33.4626334177938,27.429866682206193,7304,0.1815308573649229
1336622400,28.5,28.75,28,28.5,30.18500015,32.91137187960713,27.45862842039287,4000,0.19098121659242548
1336708800,28.725,28.75,28,28.725,29.965000149999998,32.40161728693426,27.528383013065735,12000,0.24554883259990584
1336968000,28.575,28.575,28.5,28.575,29.767500000000002,31.971309202267587,27.563690797732416,1600,0.2294457254346264
1337054400,28.625,28.625,28.575,28.625,29.604999999999997,31.63573878182302,27.574261218176975,2400,0.25870850333585554
1337140800,28.75,29.25,28.75,28.75,29.48,31.39478458318401,27.56521541681599,81780,0.3093780348946312
1337227200,29.975,29.975,28.75,29.975,29.41625,31.169124425051436,27.663375574948567,2116,0.6593810691783025
1337313600,29.25,29.975,29.25,29.25,29.316250000000004,30.854290555381773,27.778209444618234,1324,0.4784628565975755
1337659200,28,28.75,28,28,29.153750000000002,30.517043347008833,27.79045665299117,3200,0.07685189231964742
1337745600,27.5,28,27.5,27.5,28.97875,30.24418223840684,27.713317761593164,12440,-0.0842865208893871
1337832000,27.875,27.875,26.75,27.875,28.908750000000005,30.25330150514892,27.56419849485109,20000,0.11557813291595946
1338177600,27.5,27.525,27.5,27.5,28.821250000000003,30.287816994718796,27.35468300528121,4060,0.049543251430751736
1338264000,25.55,27.25,25.5,25.55,28.63625,30.665380047581735,26.607119952418266,14220,-0.2604860032697544
1338350400,26.75,27.5,25.75,26.75,28.4925,30.625754555836878,26.359245444163122,13840,0.09158648103380816
