horizon_days,fold,test_from,ticker,n_test,own_baseline_%,sent_share_%,acc_A_%,edge_A_pp,acc_D_%,edge_D_pp,acc_H_%,edge_H_pp,acc_S_%,edge_S_pp
5,0,2019-01,LOFC,94,41.5,31.2,46.8,5.3,52.1,10.6,55.3,13.8,52.1,10.6
5,0,2019-01,LOLC,93,26.9,31.2,36.6,9.7,40.9,14.0,35.5,8.6,33.3,6.5
5,0,2019-01,SAMP,116,44.0,31.2,40.5,-3.4,31.0,-12.9,31.0,-12.9,40.5,-3.4
5,1,2019-07,CFIN,101,34.7,31.1,34.7,0.0,37.6,3.0,40.6,5.9,34.7,0.0
5,1,2019-07,COMB,123,45.5,31.1,43.9,-1.6,27.6,-17.9,26.0,-19.5,33.3,-12.2
5,1,2019-07,HNB,119,49.6,31.1,40.3,-9.2,46.2,-3.4,35.3,-14.3,34.5,-15.1
5,1,2019-07,LFIN,97,40.2,31.1,34.0,-6.2,42.3,2.1,40.2,0.0,48.5,8.2
5,1,2019-07,LOFC,119,30.3,31.1,40.3,10.1,46.2,16.0,44.5,14.3,36.1,5.9
5,1,2019-07,LOLC,113,36.3,31.1,41.6,5.3,32.7,-3.5,32.7,-3.5,38.1,1.8
5,1,2019-07,SAMP,123,33.3,31.1,35.0,1.6,29.3,-4.1,30.1,-3.3,30.9,-2.4
5,2,2020-01,CFIN,62,45.2,30.6,32.3,-12.9,37.1,-8.1,33.9,-11.3,30.6,-14.5
5,2,2020-01,COMB,82,45.1,30.6,48.8,3.7,51.2,6.1,57.3,12.2,57.3,12.2
5,2,2020-01,HNB,80,46.2,30.6,42.5,-3.8,45.0,-1.3,47.5,1.2,45.0,-1.3
5,2,2020-01,LFIN,71,38.0,30.6,29.6,-8.5,39.4,1.4,32.4,-5.6,28.2,-9.9
5,2,2020-01,LOFC,78,56.4,30.6,41.0,-15.4,43.6,-12.8,44.9,-11.5,52.6,-3.8
5,2,2020-01,LOLC,82,61.0,30.6,35.4,-25.6,50.0,-11.0,52.4,-8.5,43.9,-17.1
5,2,2020-01,SAMP,82,46.3,30.6,23.2,-23.2,41.5,-4.9,39.0,-7.3,36.6,-9.8
5,3,2020-07,CFIN,122,29.5,29.5,41.0,11.5,41.8,12.3,41.8,12.3,45.1,15.6
5,3,2020-07,COMB,125,32.8,29.5,31.2,-1.6,38.4,5.6,35.2,2.4,30.4,-2.4
5,3,2020-07,HNB,125,36.0,29.5,40.8,4.8,40.0,4.0,36.0,0.0,37.6,1.6
