group,horizon_days,model,calibration,test_from,n_test,base_rate_%,actual_up_%,accuracy_%,AUC,Brier,Brier_climatology,Brier_skill,ECE,MCE,prob_spread,prob_std
BANKS,5,Logistic,raw,2020-01,80,53.4,45.0,50.0,0.523,0.2997,0.2546,-0.1772,0.2246,0.7599,0.763,0.2198
BANKS,5,Logistic,Platt,2020-01,80,53.4,45.0,58.8,0.477,0.2852,0.2546,-0.1205,0.1614,0.6787,0.473,0.1223
BANKS,5,Logistic,isotonic,2020-01,80,53.4,45.0,55.0,0.514,0.2485,0.2546,0.0237,0.0349,0.0349,0.028,0.0138
BANKS,5,XGBoost,raw,2020-01,80,53.4,45.0,52.5,0.635,0.2863,0.2546,-0.1245,0.2747,0.3801,0.833,0.2442
BANKS,5,XGBoost,Platt,2020-01,80,53.4,45.0,55.0,0.365,0.2512,0.2546,0.013,0.0405,0.0405,0.033,0.0096
BANKS,5,XGBoost,isotonic,2020-01,80,53.4,45.0,55.0,0.605,0.2676,0.2546,-0.0514,0.0623,0.6,0.436,0.1062
BANKS,5,Logistic,raw,2020-07,125,53.1,54.4,48.8,0.443,0.2781,0.2482,-0.1205,0.148,0.8946,0.573,0.1266
BANKS,5,Logistic,Platt,2020-07,125,53.1,54.4,45.6,0.443,0.267,0.2482,-0.0755,0.1331,0.1331,0.06,0.012
BANKS,5,Logistic,isotonic,2020-07,125,53.1,54.4,45.6,0.395,0.269,0.2482,-0.0836,0.1359,0.1359,0.034,0.0116
BANKS,5,XGBoost,raw,2020-07,125,53.1,54.4,52.8,0.529,0.2872,0.2482,-0.1569,0.1882,0.3011,0.737,0.1995
BANKS,5,XGBoost,Platt,2020-07,125,53.1,54.4,45.6,0.529,0.2627,0.2482,-0.0581,0.1345,0.1405,0.113,0.0308
BANKS,5,XGBoost,isotonic,2020-07,125,53.1,54.4,43.2,0.538,0.2783,0.2482,-0.121,0.1573,1.0,0.694,0.0988
BANKS,5,Logistic,raw,2021-01,111,51.8,47.7,54.1,0.613,0.2466,0.2511,0.018,0.1108,0.2284,0.779,0.136
BANKS,5,Logistic,Platt,2021-01,111,51.8,47.7,52.3,0.613,0.2466,0.2511,0.018,0.0239,0.0239,0.099,0.0149
BANKS,5,Logistic,isotonic,2021-01,111,51.8,47.7,57.7,0.614,0.2374,0.2511,0.0545,0.0331,0.194,0.543,0.0895
BANKS,5,XGBoost,raw,2021-01,111,51.8,47.7,42.3,0.377,0.3633,0.2511,-0.4466,0.3062,0.7811,0.751,0.168
BANKS,5,XGBoost,Platt,2021-01,111,51.8,47.7,52.3,0.377,0.2543,0.2511,-0.0127,0.0136,0.0136,0.083,0.0186
