bin_low,bin_high,n,mean_predicted,actual_frequency,gap,group,horizon_days,model,calibration
0.5,0.625,13,0.561,0.077,0.484,SECTOR,5,XGBoost,raw
0.625,0.75,6,0.666,0.333,0.333,SECTOR,5,XGBoost,raw
0.75,0.875,17,0.814,0.294,0.52,SECTOR,5,XGBoost,raw
0.875,1.0,1,0.903,1.0,0.097,SECTOR,5,XGBoost,raw
0.25,0.375,8,0.324,0.25,0.074,SECTOR,5,XGBoost,Platt
0.375,0.5,8,0.446,0.625,0.179,SECTOR,5,XGBoost,Platt
0.5,0.625,13,0.571,0.231,0.34,SECTOR,5,XGBoost,Platt
0.625,0.75,14,0.678,0.286,0.392,SECTOR,5,XGBoost,Platt
0.75,0.875,15,0.785,0.333,0.452,SECTOR,5,XGBoost,Platt
0.0,0.125,1,0.0,0.0,0.0,SECTOR,5,XGBoost,isotonic
0.25,0.375,11,0.325,0.364,0.039,SECTOR,5,XGBoost,isotonic
0.5,0.625,14,0.51,0.429,0.082,SECTOR,5,XGBoost,isotonic
0.625,0.75,14,0.724,0.214,0.51,SECTOR,5,XGBoost,isotonic
0.75,0.875,18,0.769,0.333,0.436,SECTOR,5,XGBoost,isotonic
0.25,0.375,7,0.348,0.429,0.08,SECTOR,5,Logistic,raw
0.375,0.5,14,0.428,0.571,0.143,SECTOR,5,Logistic,raw
0.5,0.625,18,0.55,0.556,0.005,SECTOR,5,Logistic,raw
0.625,0.75,21,0.673,0.714,0.041,SECTOR,5,Logistic,raw
0.75,0.875,6,0.773,1.0,0.227,SECTOR,5,Logistic,raw
0.375,0.5,32,0.448,0.531,0.083,SECTOR,5,Logistic,Platt
0.5,0.625,33,0.556,0.727,0.172,SECTOR,5,Logistic,Platt
0.625,0.75,1,0.631,1.0,0.369,SECTOR,5,Logistic,Platt
0.375,0.5,23,0.378,0.478,0.1,SECTOR,5,Logistic,isotonic
0.5,0.625,24,0.553,0.625,0.072,SECTOR,5,Logistic,isotonic
0.625,0.75,18,0.631,0.833,0.202,SECTOR,5,Logistic,isotonic
0.75,0.875,1,0.75,1.0,0.25,SECTOR,5,Logistic,isotonic
0.0,0.125,1,0.108,0.0,0.108,SECTOR,5,XGBoost,raw
0.125,0.25,6,0.207,0.667,0.46,SECTOR,5,XGBoost,raw
0.25,0.375,8,0.33,0.375,0.045,SECTOR,5,XGBoost,raw
0.375,0.5,8,0.443,0.75,0.307,SECTOR,5,XGBoost,raw
0.5,0.625,10,0.574,0.8,0.226,SECTOR,5,XGBoost,raw
0.625,0.75,16,0.688,0.5,0.188,SECTOR,5,XGBoost,raw
0.75,0.875,14,0.805,0.714,0.09,SECTOR,5,XGBoost,raw
0.875,1.0,3,0.888,1.0,0.112,SECTOR,5,XGBoost,raw
0.25,0.375,10,0.342,0.5,0.158,SECTOR,5,XGBoost,Platt
0.375,0.5,21,0.444,0.714,0.27,SECTOR,5,XGBoost,Platt
0.5,0.625,34,0.563,0.618,0.055,SECTOR,5,XGBoost,Platt
0.625,0.75,1,0.628,1.0,0.372,SECTOR,5,XGBoost,Platt
0.0,0.125,1,0.0,0.0,0.0,SECTOR,5,XGBoost,isotonic
0.25,0.375,4,0.375,1.0,0.625,SECTOR,5,XGBoost,isotonic
0.375,0.5,21,0.375,0.571,0.196,SECTOR,5,XGBoost,isotonic
0.5,0.625,32,0.535,0.625,0.09,SECTOR,5,XGBoost,isotonic
0.625,0.75,7,0.728,0.714,0.013,SECTOR,5,XGBoost,isotonic
0.75,0.875,1,0.8,1.0,0.2,SECTOR,5,XGBoost,isotonic
0.0,0.125,1,0.067,1.0,0.933,SECTOR,5,Logistic,raw
0.125,0.25,2,0.233,1.0,0.767,SECTOR,5,Logistic,raw
0.25,0.375,3,0.329,0.667,0.338,SECTOR,5,Logistic,raw
0.375,0.5,20,0.439,0.7,0.261,SECTOR,5,Logistic,raw
0.5,0.625,27,0.564,0.593,0.029,SECTOR,5,Logistic,raw
0.625,0.75,55,0.683,0.582,0.101,SECTOR,5,Logistic,raw
0.75,0.875,13,0.787,0.308,0.48,SECTOR,5,Logistic,raw
0.875,1.0,1,0.886,0.0,0.886,SECTOR,5,Logistic,raw
0.25,0.375,1,0.279,1.0,0.721,SECTOR,5,Logistic,Platt
0.375,0.5,32,0.464,0.75,0.286,SECTOR,5,Logistic,Platt
0.5,0.625,88,0.551,0.523,0.028,SECTOR,5,Logistic,Platt
0.625,0.75,1,0.656,0.0,0.656,SECTOR,5,Logistic,Platt
0.25,0.375,1,0.333,1.0,0.667,SECTOR,5,Logistic,isotonic
0.375,0.5,31,0.412,0.742,0.33,SECTOR,5,Logistic,isotonic
0.5,0.625,66,0.553,0.606,0.053,SECTOR,5,Logistic,isotonic
0.625,0.75,20,0.681,0.3,0.381,SECTOR,5,Logistic,isotonic
0.75,0.875,4,0.75,0.25,0.5,SECTOR,5,Logistic,isotonic
0.0,0.125,1,0.099,1.0,0.901,SECTOR,5,XGBoost,raw
0.125,0.25,1,0.176,0.0,0.176,SECTOR,5,XGBoost,raw
0.25,0.375,5,0.32,0.0,0.32,SECTOR,5,XGBoost,raw
0.375,0.5,14,0.438,0.714,0.276,SECTOR,5,XGBoost,raw
0.5,0.625,23,0.563,0.609,0.046,SECTOR,5,XGBoost,raw
0.625,0.75,32,0.696,0.656,0.039,SECTOR,5,XGBoost,raw
0.75,0.875,40,0.819,0.55,0.269,SECTOR,5,XGBoost,raw
0.875,1.0,6,0.896,0.5,0.396,SECTOR,5,XGBoost,raw
0.375,0.5,17,0.492,0.471,0.021,SECTOR,5,XGBoost,Platt
0.5,0.625,105,0.517,0.6,0.083,SECTOR,5,XGBoost,Platt
0.0,0.125,1,0.0,1.0,1.0,SECTOR,5,XGBoost,isotonic
0.375,0.5,69,0.473,0.609,0.135,SECTOR,5,XGBoost,isotonic
0.5,0.625,49,0.541,0.551,0.01,SECTOR,5,XGBoost,isotonic
0.75,0.875,1,0.833,0.0,0.833,SECTOR,5,XGBoost,isotonic
0.875,1.0,2,0.9,0.5,0.4,SECTOR,5,XGBoost,isotonic
0.0,0.125,1,0.101,0.0,0.101,SECTOR,5,Logistic,raw
0.125,0.25,4,0.162,0.25,0.088,SECTOR,5,Logistic,raw
0.25,0.375,5,0.325,0.4,0.075,SECTOR,5,Logistic,raw
0.375,0.5,18,0.453,0.222,0.231,SECTOR,5,Logistic,raw
0.5,0.625,29,0.575,0.517,0.057,SECTOR,5,Logistic,raw
0.625,0.75,30,0.681,0.5,0.181,SECTOR,5,Logistic,raw
0.75,0.875,11,0.807,0.727,0.079,SECTOR,5,Logistic,raw
0.875,1.0,8,0.921,0.875,0.046,SECTOR,5,Logistic,raw
0.375,0.5,28,0.479,0.25,0.229,SECTOR,5,Logistic,Platt
0.5,0.625,78,0.528,0.577,0.049,SECTOR,5,Logistic,Platt
0.375,0.5,28,0.448,0.25,0.198,SECTOR,5,Logistic,isotonic
0.5,0.625,66,0.533,0.515,0.018,SECTOR,5,Logistic,isotonic
0.625,0.75,11,0.667,0.909,0.242,SECTOR,5,Logistic,isotonic
0.75,0.875,1,0.75,1.0,0.25,SECTOR,5,Logistic,isotonic
0.125,0.25,5,0.195,0.2,0.005,SECTOR,5,XGBoost,raw
0.25,0.375,7,0.329,0.714,0.385,SECTOR,5,XGBoost,raw
0.375,0.5,16,0.447,0.25,0.197,SECTOR,5,XGBoost,raw
0.5,0.625,21,0.578,0.524,0.054,SECTOR,5,XGBoost,raw
0.625,0.75,29,0.693,0.621,0.072,SECTOR,5,XGBoost,raw
0.75,0.875,23,0.801,0.435,0.366,SECTOR,5,XGBoost,raw
0.875,1.0,5,0.901,0.6,0.301,SECTOR,5,XGBoost,raw
0.375,0.5,36,0.462,0.361,0.101,SECTOR,5,XGBoost,Platt
0.5,0.625,70,0.545,0.557,0.012,SECTOR,5,XGBoost,Platt
0.375,0.5,60,0.46,0.483,0.023,SECTOR,5,XGBoost,isotonic
0.5,0.625,27,0.566,0.481,0.084,SECTOR,5,XGBoost,isotonic
0.625,0.75,19,0.633,0.526,0.107,SECTOR,5,XGBoost,isotonic
0.125,0.25,4,0.169,0.75,0.581,SECTOR,5,Logistic,raw
0.25,0.375,10,0.324,0.5,0.176,SECTOR,5,Logistic,raw
0.375,0.5,21,0.456,0.857,0.401,SECTOR,5,Logistic,raw
0.5,0.625,42,0.563,0.762,0.199,SECTOR,5,Logistic,raw
0.625,0.75,32,0.682,0.5,0.182,SECTOR,5,Logistic,raw
0.75,0.875,15,0.8,0.667,0.134,SECTOR,5,Logistic,raw
0.375,0.5,10,0.455,0.4,0.055,SECTOR,5,Logistic,Platt
0.5,0.625,89,0.571,0.742,0.17,SECTOR,5,Logistic,Platt
0.625,0.75,25,0.654,0.56,0.094,SECTOR,5,Logistic,Platt
0.25,0.375,1,0.307,1.0,0.693,SECTOR,5,Logistic,isotonic
0.375,0.5,17,0.432,0.647,0.215,SECTOR,5,Logistic,isotonic
0.5,0.625,94,0.595,0.67,0.075,SECTOR,5,Logistic,isotonic
0.75,0.875,12,0.783,0.75,0.033,SECTOR,5,Logistic,isotonic
0.0,0.125,1,0.089,1.0,0.911,SECTOR,5,XGBoost,raw
0.125,0.25,11,0.188,0.727,0.539,SECTOR,5,XGBoost,raw
0.25,0.375,15,0.319,0.733,0.414,SECTOR,5,XGBoost,raw
0.375,0.5,17,0.436,0.706,0.27,SECTOR,5,XGBoost,raw
0.5,0.625,33,0.556,0.606,0.05,SECTOR,5,XGBoost,raw
0.625,0.75,20,0.692,0.65,0.042,SECTOR,5,XGBoost,raw
0.75,0.875,25,0.811,0.68,0.131,SECTOR,5,XGBoost,raw
0.875,1.0,2,0.895,1.0,0.105,SECTOR,5,XGBoost,raw
0.375,0.5,26,0.465,0.731,0.266,SECTOR,5,XGBoost,Platt
0.5,0.625,71,0.568,0.648,0.08,SECTOR,5,XGBoost,Platt
0.625,0.75,27,0.65,0.704,0.054,SECTOR,5,XGBoost,Platt
0.0,0.125,2,0.0,0.5,0.5,SECTOR,5,XGBoost,isotonic
0.375,0.5,10,0.423,0.8,0.377,SECTOR,5,XGBoost,isotonic
0.5,0.625,70,0.536,0.657,0.121,SECTOR,5,XGBoost,isotonic
0.625,0.75,36,0.65,0.667,0.016,SECTOR,5,XGBoost,isotonic
0.75,0.875,5,0.841,0.8,0.041,SECTOR,5,XGBoost,isotonic
0.875,1.0,1,1.0,1.0,0.0,SECTOR,5,XGBoost,isotonic
0.0,0.125,8,0.063,0.125,0.062,SECTOR,5,Logistic,raw
0.125,0.25,11,0.204,0.364,0.16,SECTOR,5,Logistic,raw
0.25,0.375,15,0.299,0.4,0.101,SECTOR,5,Logistic,raw
0.375,0.5,15,0.433,0.133,0.3,SECTOR,5,Logistic,raw
0.5,0.625,11,0.558,0.091,0.468,SECTOR,5,Logistic,raw
0.625,0.75,13,0.673,0.231,0.443,SECTOR,5,Logistic,raw
0.75,0.875,8,0.792,0.75,0.042,SECTOR,5,Logistic,raw
0.875,1.0,10,0.927,0.5,0.427,SECTOR,5,Logistic,raw
0.25,0.375,4,0.322,0.25,0.072,SECTOR,5,Logistic,Platt
0.375,0.5,23,0.465,0.304,0.161,SECTOR,5,Logistic,Platt
0.5,0.625,46,0.559,0.196,0.363,SECTOR,5,Logistic,Platt
0.625,0.75,16,0.67,0.688,0.018,SECTOR,5,Logistic,Platt
0.75,0.875,2,0.812,0.0,0.812,SECTOR,5,Logistic,Platt
0.0,0.125,3,0.0,0.333,0.333,SECTOR,5,Logistic,isotonic
0.125,0.25,1,0.139,0.0,0.139,SECTOR,5,Logistic,isotonic
0.25,0.375,1,0.333,0.0,0.333,SECTOR,5,Logistic,isotonic
0.375,0.5,29,0.392,0.345,0.047,SECTOR,5,Logistic,isotonic
0.5,0.625,41,0.581,0.195,0.386,SECTOR,5,Logistic,isotonic
0.75,0.875,16,0.75,0.562,0.188,SECTOR,5,Logistic,isotonic
0.0,0.125,1,0.087,0.0,0.087,SECTOR,5,XGBoost,raw
0.125,0.25,3,0.192,0.333,0.141,SECTOR,5,XGBoost,raw
0.25,0.375,5,0.284,0.2,0.084,SECTOR,5,XGBoost,raw
0.375,0.5,17,0.432,0.118,0.315,SECTOR,5,XGBoost,raw
0.5,0.625,24,0.57,0.375,0.195,SECTOR,5,XGBoost,raw
0.625,0.75,24,0.693,0.25,0.443,SECTOR,5,XGBoost,raw
0.75,0.875,17,0.801,0.529,0.272,SECTOR,5,XGBoost,raw
0.5,0.625,91,0.565,0.308,0.258,SECTOR,5,XGBoost,Platt
0.0,0.125,1,0.0,0.0,0.0,SECTOR,5,XGBoost,isotonic
0.375,0.5,1,0.462,0.0,0.462,SECTOR,5,XGBoost,isotonic
0.5,0.625,73,0.552,0.26,0.292,SECTOR,5,XGBoost,isotonic
0.625,0.75,16,0.629,0.562,0.067,SECTOR,5,XGBoost,isotonic
0.0,0.125,1,0.108,0.0,0.108,SECTOR,5,Logistic,raw
0.125,0.25,6,0.214,0.667,0.453,SECTOR,5,Logistic,raw
0.25,0.375,13,0.316,0.308,0.009,SECTOR,5,Logistic,raw
0.375,0.5,15,0.441,0.4,0.041,SECTOR,5,Logistic,raw
0.5,0.625,25,0.561,0.48,0.081,SECTOR,5,Logistic,raw
0.625,0.75,17,0.694,0.471,0.223,SECTOR,5,Logistic,raw
0.75,0.875,13,0.78,0.462,0.318,SECTOR,5,Logistic,raw
0.875,1.0,1,0.958,0.0,0.958,SECTOR,5,Logistic,raw
0.375,0.5,19,0.484,0.421,0.063,SECTOR,5,Logistic,Platt
0.5,0.625,72,0.534,0.444,0.089,SECTOR,5,Logistic,Platt
0.25,0.375,7,0.335,0.571,0.236,SECTOR,5,Logistic,isotonic
0.375,0.5,11,0.426,0.364,0.062,SECTOR,5,Logistic,isotonic
0.5,0.625,67,0.548,0.448,0.1,SECTOR,5,Logistic,isotonic
0.625,0.75,6,0.65,0.333,0.317,SECTOR,5,Logistic,isotonic
0.0,0.125,2,0.072,1.0,0.928,SECTOR,5,XGBoost,raw
0.125,0.25,6,0.179,0.667,0.488,SECTOR,5,XGBoost,raw
0.25,0.375,8,0.299,0.5,0.201,SECTOR,5,XGBoost,raw
0.375,0.5,19,0.433,0.474,0.041,SECTOR,5,XGBoost,raw
0.5,0.625,26,0.558,0.423,0.135,SECTOR,5,XGBoost,raw
0.625,0.75,23,0.679,0.348,0.331,SECTOR,5,XGBoost,raw
0.75,0.875,7,0.797,0.286,0.511,SECTOR,5,XGBoost,raw
0.5,0.625,91,0.526,0.44,0.087,SECTOR,5,XGBoost,Platt
0.0,0.125,1,0.0,1.0,1.0,SECTOR,5,XGBoost,isotonic
0.125,0.25,1,0.133,1.0,0.867,SECTOR,5,XGBoost,isotonic
0.5,0.625,84,0.507,0.44,0.066,SECTOR,5,XGBoost,isotonic
0.625,0.75,5,0.641,0.2,0.441,SECTOR,5,XGBoost,isotonic
0.25,0.375,3,0.323,0.667,0.344,SECTOR,5,Logistic,raw
0.375,0.5,43,0.44,0.535,0.095,SECTOR,5,Logistic,raw
0.5,0.625,49,0.565,0.51,0.055,SECTOR,5,Logistic,raw
0.625,0.75,24,0.671,0.75,0.079,SECTOR,5,Logistic,raw
0.375,0.5,53,0.482,0.547,0.065,SECTOR,5,Logistic,Platt
0.5,0.625,66,0.52,0.591,0.071,SECTOR,5,Logistic,Platt
0.25,0.375,1,0.333,1.0,0.667,SECTOR,5,Logistic,isotonic
0.375,0.5,26,0.402,0.615,0.213,SECTOR,5,Logistic,isotonic
0.5,0.625,92,0.544,0.554,0.01,SECTOR,5,Logistic,isotonic
0.125,0.25,4,0.229,0.5,0.271,SECTOR,5,XGBoost,raw
0.25,0.375,23,0.316,0.478,0.162,SECTOR,5,XGBoost,raw
0.375,0.5,20,0.434,0.45,0.016,SECTOR,5,XGBoost,raw
0.5,0.625,29,0.557,0.724,0.167,SECTOR,5,XGBoost,raw
0.625,0.75,29,0.682,0.552,0.131,SECTOR,5,XGBoost,raw
0.75,0.875,12,0.779,0.667,0.112,SECTOR,5,XGBoost,raw
0.875,1.0,2,0.911,0.5,0.411,SECTOR,5,XGBoost,raw
0.375,0.5,45,0.491,0.6,0.109,SECTOR,5,XGBoost,Platt
0.5,0.625,74,0.519,0.554,0.036,SECTOR,5,XGBoost,Platt
0.375,0.5,19,0.474,0.526,0.053,SECTOR,5,XGBoost,isotonic
0.5,0.625,97,0.506,0.577,0.071,SECTOR,5,XGBoost,isotonic
0.625,0.75,2,0.636,0.5,0.136,SECTOR,5,XGBoost,isotonic
0.875,1.0,1,1.0,1.0,0.0,SECTOR,5,XGBoost,isotonic
0.25,0.375,6,0.347,1.0,0.653,SECTOR,5,Logistic,raw
0.375,0.5,58,0.454,0.5,0.046,SECTOR,5,Logistic,raw
0.5,0.625,46,0.562,0.413,0.149,SECTOR,5,Logistic,raw
0.625,0.75,13,0.664,0.462,0.202,SECTOR,5,Logistic,raw
0.375,0.5,15,0.49,0.667,0.177,SECTOR,5,Logistic,Platt
0.5,0.625,108,0.529,0.463,0.066,SECTOR,5,Logistic,Platt
0.375,0.5,8,0.406,0.875,0.469,SECTOR,5,Logistic,isotonic
0.5,0.625,115,0.544,0.461,0.083,SECTOR,5,Logistic,isotonic
0.125,0.25,3,0.237,1.0,0.763,SECTOR,5,XGBoost,raw
0.25,0.375,28,0.328,0.536,0.207,SECTOR,5,XGBoost,raw
0.375,0.5,27,0.424,0.519,0.094,SECTOR,5,XGBoost,raw
0.5,0.625,25,0.551,0.64,0.089,SECTOR,5,XGBoost,raw
0.625,0.75,27,0.685,0.296,0.389,SECTOR,5,XGBoost,raw
0.75,0.875,12,0.771,0.333,0.438,SECTOR,5,XGBoost,raw
0.875,1.0,1,0.897,0.0,0.897,SECTOR,5,XGBoost,raw
0.375,0.5,35,0.485,0.6,0.115,SECTOR,5,XGBoost,Platt
0.5,0.625,88,0.546,0.443,0.103,SECTOR,5,XGBoost,Platt
0.375,0.5,33,0.47,0.606,0.136,SECTOR,5,XGBoost,isotonic
0.5,0.625,79,0.514,0.456,0.058,SECTOR,5,XGBoost,isotonic
0.625,0.75,7,0.664,0.286,0.379,SECTOR,5,XGBoost,isotonic
0.75,0.875,3,0.828,0.667,0.161,SECTOR,5,XGBoost,isotonic
0.875,1.0,1,0.963,0.0,0.963,SECTOR,5,XGBoost,isotonic
0.375,0.5,31,0.448,0.484,0.036,SECTOR,5,Logistic,raw
0.5,0.625,69,0.558,0.507,0.051,SECTOR,5,Logistic,raw
0.625,0.75,15,0.671,0.533,0.138,SECTOR,5,Logistic,raw
0.375,0.5,29,0.49,0.448,0.042,SECTOR,5,Logistic,Platt
0.5,0.625,86,0.516,0.523,0.007,SECTOR,5,Logistic,Platt
0.375,0.5,88,0.493,0.477,0.016,SECTOR,5,Logistic,isotonic
0.5,0.625,27,0.579,0.593,0.013,SECTOR,5,Logistic,isotonic
0.125,0.25,1,0.227,1.0,0.773,SECTOR,5,XGBoost,raw
0.25,0.375,23,0.333,0.391,0.058,SECTOR,5,XGBoost,raw
0.375,0.5,19,0.423,0.421,0.002,SECTOR,5,XGBoost,raw
0.5,0.625,26,0.563,0.423,0.14,SECTOR,5,XGBoost,raw
0.625,0.75,30,0.682,0.533,0.149,SECTOR,5,XGBoost,raw
0.75,0.875,15,0.777,0.8,0.023,SECTOR,5,XGBoost,raw
0.875,1.0,1,0.879,1.0,0.121,SECTOR,5,XGBoost,raw
0.375,0.5,41,0.485,0.415,0.07,SECTOR,5,XGBoost,Platt
0.5,0.625,74,0.523,0.554,0.031,SECTOR,5,XGBoost,Platt
0.375,0.5,39,0.441,0.41,0.031,SECTOR,5,XGBoost,isotonic
0.5,0.625,75,0.542,0.547,0.004,SECTOR,5,XGBoost,isotonic
0.75,0.875,1,0.833,1.0,0.167,SECTOR,5,XGBoost,isotonic
0.25,0.375,3,0.361,0.333,0.028,SECTOR,5,Logistic,raw
0.375,0.5,34,0.45,0.559,0.109,SECTOR,5,Logistic,raw
0.5,0.625,50,0.564,0.46,0.104,SECTOR,5,Logistic,raw
0.625,0.75,37,0.67,0.811,0.141,SECTOR,5,Logistic,raw
0.75,0.875,1,0.795,1.0,0.205,SECTOR,5,Logistic,raw
0.375,0.5,125,0.474,0.592,0.118,SECTOR,5,Logistic,Platt
0.375,0.5,75,0.448,0.48,0.032,SECTOR,5,Logistic,isotonic
0.5,0.625,50,0.544,0.76,0.216,SECTOR,5,Logistic,isotonic
0.25,0.375,14,0.325,0.643,0.318,SECTOR,5,XGBoost,raw
0.375,0.5,38,0.433,0.474,0.04,SECTOR,5,XGBoost,raw
0.5,0.625,32,0.571,0.5,0.071,SECTOR,5,XGBoost,raw
0.625,0.75,28,0.683,0.75,0.067,SECTOR,5,XGBoost,raw
0.75,0.875,11,0.813,0.727,0.086,SECTOR,5,XGBoost,raw
0.875,1.0,2,0.881,1.0,0.119,SECTOR,5,XGBoost,raw
0.375,0.5,98,0.463,0.531,0.068,SECTOR,5,XGBoost,Platt
0.5,0.625,27,0.518,0.815,0.297,SECTOR,5,XGBoost,Platt
0.375,0.5,107,0.456,0.551,0.095,SECTOR,5,XGBoost,isotonic
0.5,0.625,9,0.526,0.889,0.363,SECTOR,5,XGBoost,isotonic
0.625,0.75,7,0.643,0.714,0.071,SECTOR,5,XGBoost,isotonic
0.75,0.875,2,0.833,1.0,0.167,SECTOR,5,XGBoost,isotonic
0.25,0.375,6,0.325,0.833,0.508,SECTOR,5,Logistic,raw
0.375,0.5,28,0.448,0.679,0.231,SECTOR,5,Logistic,raw
0.5,0.625,65,0.557,0.508,0.05,SECTOR,5,Logistic,raw
0.625,0.75,15,0.649,0.467,0.183,SECTOR,5,Logistic,raw
0.375,0.5,30,0.482,0.7,0.218,SECTOR,5,Logistic,Platt
0.5,0.625,84,0.528,0.512,0.016,SECTOR,5,Logistic,Platt
0.375,0.5,89,0.468,0.573,0.105,SECTOR,5,Logistic,isotonic
0.5,0.625,2,0.563,0.0,0.563,SECTOR,5,Logistic,isotonic
0.625,0.75,23,0.664,0.565,0.098,SECTOR,5,Logistic,isotonic
0.125,0.25,2,0.205,0.5,0.295,SECTOR,5,XGBoost,raw
0.25,0.375,14,0.334,0.643,0.308,SECTOR,5,XGBoost,raw
0.375,0.5,33,0.441,0.606,0.165,SECTOR,5,XGBoost,raw
0.5,0.625,21,0.559,0.571,0.012,SECTOR,5,XGBoost,raw
0.625,0.75,32,0.698,0.531,0.167,SECTOR,5,XGBoost,raw
0.75,0.875,12,0.786,0.417,0.37,SECTOR,5,XGBoost,raw
0.375,0.5,11,0.495,0.636,0.141,SECTOR,5,XGBoost,Platt
0.5,0.625,103,0.519,0.553,0.034,SECTOR,5,XGBoost,Platt
0.375,0.5,86,0.491,0.593,0.102,SECTOR,5,XGBoost,isotonic
0.5,0.625,19,0.562,0.526,0.035,SECTOR,5,XGBoost,isotonic
0.625,0.75,6,0.682,0.5,0.182,SECTOR,5,XGBoost,isotonic
0.75,0.875,3,0.765,0.0,0.765,SECTOR,5,XGBoost,isotonic
0.25,0.375,1,0.375,0.0,0.375,SECTOR,5,Logistic,raw
0.375,0.5,14,0.453,0.429,0.024,SECTOR,5,Logistic,raw
0.5,0.625,82,0.573,0.598,0.024,SECTOR,5,Logistic,raw
0.625,0.75,27,0.646,0.593,0.053,SECTOR,5,Logistic,raw
0.5,0.625,124,0.534,0.573,0.038,SECTOR,5,Logistic,Platt
0.5,0.625,79,0.526,0.582,0.057,SECTOR,5,Logistic,isotonic
0.625,0.75,45,0.64,0.556,0.084,SECTOR,5,Logistic,isotonic
0.125,0.25,1,0.24,1.0,0.76,SECTOR,5,XGBoost,raw
0.25,0.375,10,0.333,0.4,0.067,SECTOR,5,XGBoost,raw
0.375,0.5,26,0.449,0.462,0.012,SECTOR,5,XGBoost,raw
0.5,0.625,31,0.56,0.484,0.077,SECTOR,5,XGBoost,raw
0.625,0.75,40,0.689,0.675,0.014,SECTOR,5,XGBoost,raw
0.75,0.875,16,0.787,0.75,0.037,SECTOR,5,XGBoost,raw
0.5,0.625,124,0.544,0.573,0.028,SECTOR,5,XGBoost,Platt
0.375,0.5,1,0.421,1.0,0.579,SECTOR,5,XGBoost,isotonic
0.5,0.625,89,0.515,0.494,0.021,SECTOR,5,XGBoost,isotonic
0.625,0.75,33,0.659,0.758,0.098,SECTOR,5,XGBoost,isotonic
0.75,0.875,1,0.8,1.0,0.2,SECTOR,5,XGBoost,isotonic
0.25,0.375,1,0.364,1.0,0.636,SECTOR,5,Logistic,raw
0.375,0.5,21,0.475,0.429,0.046,SECTOR,5,Logistic,raw
0.5,0.625,82,0.555,0.378,0.176,SECTOR,5,Logistic,raw
0.625,0.75,14,0.652,0.429,0.223,SECTOR,5,Logistic,raw
0.5,0.625,118,0.546,0.398,0.147,SECTOR,5,Logistic,Platt
0.5,0.625,93,0.509,0.409,0.1,SECTOR,5,Logistic,isotonic
0.625,0.75,25,0.634,0.36,0.274,SECTOR,5,Logistic,isotonic
0.25,0.375,5,0.348,0.6,0.252,SECTOR,5,XGBoost,raw
0.375,0.5,33,0.455,0.394,0.061,SECTOR,5,XGBoost,raw
0.5,0.625,44,0.562,0.455,0.107,SECTOR,5,XGBoost,raw
0.625,0.75,31,0.679,0.323,0.356,SECTOR,5,XGBoost,raw
0.75,0.875,5,0.782,0.2,0.582,SECTOR,5,XGBoost,raw
0.5,0.625,118,0.547,0.398,0.149,SECTOR,5,XGBoost,Platt
0.5,0.625,109,0.524,0.422,0.102,SECTOR,5,XGBoost,isotonic
0.625,0.75,8,0.643,0.125,0.518,SECTOR,5,XGBoost,isotonic
0.75,0.875,1,0.789,0.0,0.789,SECTOR,5,XGBoost,isotonic
0.25,0.375,3,0.362,0.667,0.305,SECTOR,10,Logistic,raw
0.375,0.5,28,0.449,0.679,0.23,SECTOR,10,Logistic,raw
0.5,0.625,24,0.554,0.833,0.279,SECTOR,10,Logistic,raw
0.625,0.75,7,0.649,0.857,0.209,SECTOR,10,Logistic,raw
0.375,0.5,62,0.434,0.758,0.324,SECTOR,10,Logistic,Platt
0.25,0.375,6,0.257,0.667,0.41,SECTOR,10,Logistic,isotonic
0.375,0.5,52,0.45,0.769,0.32,SECTOR,10,Logistic,isotonic
0.5,0.625,4,0.538,0.75,0.212,SECTOR,10,Logistic,isotonic
0.125,0.25,7,0.217,0.429,0.212,SECTOR,10,XGBoost,raw
0.25,0.375,7,0.293,0.286,0.007,SECTOR,10,XGBoost,raw
0.375,0.5,10,0.434,1.0,0.566,SECTOR,10,XGBoost,raw
0.5,0.625,10,0.575,0.7,0.125,SECTOR,10,XGBoost,raw
0.625,0.75,17,0.698,1.0,0.302,SECTOR,10,XGBoost,raw
0.75,0.875,11,0.811,0.727,0.084,SECTOR,10,XGBoost,raw
0.25,0.375,13,0.347,0.308,0.039,SECTOR,10,XGBoost,Platt
0.375,0.5,38,0.446,0.921,0.475,SECTOR,10,XGBoost,Platt
0.5,0.625,11,0.515,0.727,0.213,SECTOR,10,XGBoost,Platt
0.125,0.25,10,0.197,0.3,0.103,SECTOR,10,XGBoost,isotonic
0.375,0.5,32,0.425,0.844,0.419,SECTOR,10,XGBoost,isotonic
0.5,0.625,17,0.5,0.882,0.382,SECTOR,10,XGBoost,isotonic
0.625,0.75,3,0.667,0.667,0.0,SECTOR,10,XGBoost,isotonic
0.25,0.375,2,0.338,1.0,0.662,SECTOR,10,Logistic,raw
0.375,0.5,17,0.446,0.471,0.025,SECTOR,10,Logistic,raw
0.5,0.625,17,0.582,0.529,0.053,SECTOR,10,Logistic,raw
0.625,0.75,15,0.675,0.867,0.192,SECTOR,10,Logistic,raw
0.75,0.875,1,0.756,0.0,0.756,SECTOR,10,Logistic,raw
0.125,0.25,2,0.206,1.0,0.794,SECTOR,10,Logistic,Platt
