ticker,group,phase,n_features,horizon_days,horizon,n_train,n_test,acc_%,baseline_%,edge_pp,beats_baseline,ret_ratio,sign_edge_pp,fx_share_%,global_share_%,cpi_share_%
HNB,bank,E2,54,22,1 month,2016,510,38.2,45.1,-6.9,False,1.001,-6.1,7.7,11.0,9.1
HNB,bank,A,9,44,2 months,1976,506,36.4,35.2,1.2,True,0.994,-3.2,0.0,0.0,0.0
HNB,bank,D,38,44,2 months,1976,506,38.5,35.2,3.4,True,1.14,-5.7,0.0,0.0,0.0
HNB,bank,E,42,44,2 months,1976,506,36.8,35.2,1.6,True,1.148,-6.5,10.4,0.0,0.0
HNB,bank,E2,54,44,2 months,1976,506,31.4,35.2,-3.8,False,1.085,-13.2,8.1,10.4,8.5
HNB,bank,A,9,66,3 months,1937,501,31.9,37.1,-5.2,False,0.975,-18.0,0.0,0.0,0.0
HNB,bank,D,38,66,3 months,1937,501,32.1,37.1,-5.0,False,1.164,-13.8,0.0,0.0,0.0
HNB,bank,E,42,66,3 months,1937,501,33.9,37.1,-3.2,False,1.163,-13.0,10.0,0.0,0.0
HNB,bank,E2,54,66,3 months,1937,501,27.3,37.1,-9.8,False,1.061,-10.2,8.1,8.8,10.8
HNB,bank,A,9,132,6 months,1818,488,41.2,72.1,-30.9,False,0.992,-29.1,0.0,0.0,0.0
HNB,bank,D,38,132,6 months,1818,488,51.8,72.1,-20.3,False,1.164,-41.2,0.0,0.0,0.0
HNB,bank,E,42,132,6 months,1818,488,54.9,72.1,-17.2,False,1.163,-41.0,8.9,0.0,0.0
HNB,bank,E2,54,132,6 months,1818,488,48.0,72.1,-24.2,False,1.136,-52.3,7.2,8.4,12.5
HNB,bank,A,9,252,1 year,1602,464,35.1,87.5,-52.4,False,1.011,-79.1,0.0,0.0,0.0
HNB,bank,D,38,252,1 year,1602,464,62.9,87.5,-24.6,False,0.858,-27.4,0.0,0.0,0.0
HNB,bank,E,42,252,1 year,1602,464,67.0,87.5,-20.5,False,0.865,-27.6,9.1,0.0,0.0
HNB,bank,E2,54,252,1 year,1602,464,59.5,87.5,-28.0,False,0.842,-26.3,6.5,8.8,11.4
COMB,bank,A,9,1,1 day,2122,531,40.5,46.1,-5.6,False,0.991,-1.3,0.0,0.0,0.0
COMB,bank,D,38,1,1 day,2122,531,41.4,46.1,-4.7,False,1.005,-1.5,0.0,0.0,0.0
COMB,bank,E,42,1,1 day,2122,531,42.4,46.1,-3.8,False,1.005,-3.6,8.8,0.0,0.0
COMB,bank,E2,54,1,1 day,2122,531,44.6,46.1,-1.5,False,1.015,-5.8,7.1,15.7,5.5
COMB,bank,A,9,5,1 week,2115,530,36.4,38.5,-2.1,False,0.991,3.4,0.0,0.0,0.0
COMB,bank,D,38,5,1 week,2115,530,35.3,38.5,-3.2,False,1.022,-2.3,0.0,0.0,0.0
COMB,bank,E,42,5,1 week,2115,530,33.2,38.5,-5.3,False,1.015,0.6,9.6,0.0,0.0
COMB,bank,E2,54,5,1 week,2115,530,29.1,38.5,-9.4,False,1.044,2.6,7.7,14.2,6.9
COMB,bank,A,9,10,2 weeks,2106,529,33.8,37.2,-3.4,False,0.995,-1.3,0.0,0.0,0.0
