ticker,horizon_days,gain_D_to_E_pp,gain_E_to_E2_pp,gain_D_to_E2_pp,group,horizon,edge_pp,beats_baseline,ret_ratio,sign_edge_pp,fx_share_%,global_share_%,cpi_share_%
LFIN,15,1.1,-4.1,-3.0,finance,3 weeks,-10.7,False,1.13,-8.4,7.0,12.0,8.3
LFIN,22,3.9,-6.4,-2.5,finance,1 month,-13.8,False,1.08,-8.2,7.0,11.7,9.5
LFIN,44,4.8,-8.9,-4.1,finance,2 months,-23.7,False,1.041,-6.0,5.7,10.0,8.7
LFIN,66,-4.2,3.6,-0.6,finance,3 months,-18.2,False,1.055,-14.7,5.5,10.7,10.7
LFIN,132,2.9,2.1,5.0,finance,6 months,-21.2,False,1.115,-15.3,6.0,8.5,14.5
LFIN,252,-0.2,-4.1,-4.3,finance,1 year,-13.7,False,0.809,-5.0,6.8,5.9,14.0
CFIN,1,-1.8,2.4,0.6,finance,1 day,6.3,True,1.025,-10.2,7.0,14.9,5.2
CFIN,5,0.2,-0.2,0.0,finance,1 week,2.7,True,1.08,0.6,6.6,14.3,6.3
CFIN,10,-1.9,-0.4,-2.3,finance,2 weeks,-1.2,False,1.098,3.3,7.0,13.1,6.8
CFIN,15,1.0,-1.6,-0.6,finance,3 weeks,-6.2,False,1.132,0.4,7.5,13.2,8.5
CFIN,22,0.4,-3.5,-3.1,finance,1 month,-6.6,False,1.107,-8.8,8.3,12.1,8.9
CFIN,44,-0.4,-3.1,-3.5,finance,2 months,-17.0,False,1.077,-5.4,6.9,10.8,10.9
CFIN,66,0.4,0.2,0.6,finance,3 months,-4.4,False,1.058,0.0,7.3,11.1,9.1
CFIN,132,1.3,-12.3,-11.0,finance,6 months,-20.0,False,0.89,-11.4,7.6,9.6,12.2
CFIN,252,3.4,-1.4,2.0,finance,1 year,-45.9,False,1.031,-59.5,6.3,7.6,11.6
JKH,1,-0.3,3.3,3.0,control,1 day,-2.4,False,1.007,-12.4,6.9,15.6,5.6
JKH,5,-2.7,0.4,-2.3,control,1 week,-1.7,False,1.041,-7.5,7.8,13.7,7.1
JKH,10,0.9,0.2,1.1,control,2 weeks,3.6,True,0.996,2.3,7.2,12.8,7.7
JKH,15,-0.4,1.0,0.6,control,3 weeks,0.9,True,0.975,3.0,7.5,12.0,8.4
JKH,22,0.4,0.4,0.8,control,1 month,-0.8,False,0.984,-1.1,6.9,11.4,10.2
JKH,44,0.0,-1.9,-1.9,control,2 months,-5.7,False,1.043,7.8,5.2,10.6,9.5
JKH,66,-1.0,-3.8,-4.8,control,3 months,2.5,True,1.028,11.8,5.1,9.5,11.5
JKH,132,0.0,-4.0,-4.0,control,6 months,-5.5,False,1.39,-4.7,5.8,7.6,12.9
JKH,252,-4.5,-12.3,-16.8,control,1 year,-18.9,False,1.32,-31.5,4.7,8.0,14.3
DIAL,1,-1.7,3.0,1.3,control,1 day,3.2,True,1.045,-17.2,7.2,16.3,5.6
DIAL,5,-1.1,-1.1,-2.2,control,1 week,-8.4,False,1.036,-10.5,7.2,14.2,6.5
DIAL,10,-3.8,-7.5,-11.3,control,2 weeks,-14.9,False,1.018,-13.8,7.8,13.7,7.9
DIAL,15,-5.5,-11.2,-16.7,control,3 weeks,-18.2,False,1.029,-17.9,8.4,13.2,8.7
DIAL,22,-3.7,-7.1,-10.8,control,1 month,-15.0,False,1.038,-23.3,7.8,12.3,8.6
DIAL,44,5.5,0.4,5.9,control,2 months,-30.3,False,1.037,-40.6,7.6,10.3,8.0
DIAL,66,4.5,-6.0,-1.5,control,3 months,-58.3,False,0.982,-35.0,8.3,9.5,9.8
DIAL,132,-9.1,7.9,-1.2,control,6 months,-40.8,False,0.968,-26.3,9.8,6.8,8.8
DIAL,252,0.8,3.6,4.4,control,1 year,-24.7,False,1.011,-49.4,5.5,7.3,9.8
CTC,1,-4.7,2.8,-1.9,control,1 day,-25.9,False,1.003,-3.8,6.8,15.7,5.7
CTC,5,-0.8,0.8,0.0,control,1 week,-10.8,False,1.046,-1.7,6.8,13.9,7.2
CTC,10,-4.9,2.3,-2.6,control,2 weeks,-8.9,False,1.062,-4.0,6.5,12.5,9.0
CTC,15,-0.9,-1.7,-2.6,control,3 weeks,-12.7,False,1.153,-14.9,6.3,11.3,9.1
CTC,22,-0.8,-2.6,-3.4,control,1 month,-11.9,False,1.186,-25.5,6.5,10.6,9.3
CTC,44,0.2,0.8,1.0,control,2 months,-23.9,False,1.352,-35.3,5.2,8.9,10.2
CTC,66,1.9,-7.1,-5.2,control,3 months,-29.9,False,1.653,-59.7,6.0,10.1,11.1
CTC,132,2.1,-2.5,-0.4,control,6 months,-69.4,False,1.821,-78.8,6.8,7.8,11.9
CTC,252,-3.3,8.0,4.7,control,1 year,-89.2,False,1.226,-91.5,6.8,5.2,10.7
DIST,1,0.5,-1.6,-1.1,control,1 day,0.9,True,1.022,-5.9,7.3,15.5,6.3
DIST,5,2.0,-1.1,0.9,control,1 week,1.8,True,1.004,-0.2,7.1,14.2,6.6
DIST,10,0.4,1.2,1.6,control,2 weeks,5.7,True,1.088,-4.5,7.3,13.0,7.3
DIST,15,2.5,0.2,2.7,control,3 weeks,8.2,True,1.072,-4.3,6.7,12.3,8.0
DIST,22,1.1,-3.4,-2.3,control,1 month,-3.9,False,1.154,-9.8,6.7,12.0,7.8
DIST,44,-1.9,0.0,-1.9,control,2 months,6.2,True,1.181,-14.5,6.5,9.4,8.0
DIST,66,-0.2,8.1,7.9,control,3 months,5.6,True,1.026,-0.7,5.4,8.2,10.6
DIST,132,-3.6,0.3,-3.3,control,6 months,-4.6,False,1.009,-18.8,5.2,7.0,12.3
DIST,252,2.3,-9.2,-6.9,control,1 year,-40.6,False,1.004,-39.5,5.4,7.2,15.7
