,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,1.508,2.29,2.99,3.452,4.03,5.604,9.1,13.219,15.044,19.901,33.101
ARIMAX,1.533,2.363,3.017,3.465,4.041,5.587,9.086,13.215,15.068,19.87,33.046
RandomForest,1.519,2.291,3.0,3.478,4.048,5.602,8.197,13.154,16.483,11.706,24.632
CNN-LSTM,3.04,3.949,4.723,4.084,5.121,5.811,9.9,14.188,18.827,29.8,47.419
AVG2(AR+RF),1.524,2.317,2.996,3.462,4.027,5.563,8.628,12.743,15.096,14.96,24.058
AVG3(all),1.786,2.674,3.211,3.58,4.21,5.397,8.904,12.936,15.541,18.502,29.302
SWITCH-mape,1.533,2.291,3.0,3.478,4.048,5.602,8.197,13.154,16.483,11.706,24.632
SWITCH-dir,1.519,2.291,3.0,3.478,4.048,5.602,8.197,13.154,16.483,11.706,24.632
