,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIMAX,61.35,55.07,56.04,57.49,56.52,51.69,49.76,49.76,51.69,46.86,47.83
RandomForest,52.66,52.17,51.69,52.17,51.21,49.76,52.17,46.38,58.45,46.86,41.06
CNN-LSTM,48.79,45.41,54.11,56.52,45.89,57.49,42.51,59.42,25.6,23.19,84.54
AVG2(AR+RF),59.9,50.24,52.17,52.66,52.17,49.76,51.69,47.34,58.45,46.86,41.06
AVG3(all),50.72,46.38,55.07,57.49,46.38,52.17,51.69,59.42,33.82,55.07,48.31
SWITCH-mape,52.66,52.17,51.69,52.17,51.21,49.76,52.17,46.38,58.45,46.86,41.06
SWITCH-dir,52.66,52.17,51.69,52.17,51.21,49.76,52.17,46.38,58.45,46.86,41.06
Majority,51.21,50.72,53.14,54.59,54.59,54.59,56.52,59.42,58.45,76.81,86.47
