,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,1.374,1.978,2.4,2.544,3.166,4.335,6.614,8.896,10.054,12.585,16.623
ARIMA,2.122,2.483,2.867,3.002,3.633,4.752,7.047,9.075,10.192,12.583,16.438
RandomForest,1.35,1.964,2.371,2.463,3.162,4.316,6.692,9.411,11.181,15.674,25.39
CNN-LSTM,1.577,2.073,2.553,2.574,3.347,4.447,6.732,9.439,11.762,16.797,28.834
AVG2(ARIMA+RF),1.636,2.132,2.501,2.65,3.287,4.396,6.679,8.913,9.865,11.605,12.857
AVG3(all),1.536,2.037,2.437,2.593,3.244,4.342,6.638,8.974,10.191,12.438,15.672
