,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,1.318,1.818,2.356,2.926,3.276,5.341,9.675,15.594,18.09,14.464,23.63
ARIMAX,1.36,1.831,2.339,2.919,3.248,5.316,9.638,15.582,18.086,14.471,23.604
RandomForest,1.39,1.934,2.539,3.185,3.635,6.091,11.986,18.38,20.962,14.675,24.333
CNN-LSTM,9.656,5.522,6.349,5.556,5.362,9.286,11.072,19.512,26.439,39.664,34.625
AVG2(AR+RF),1.37,1.875,2.428,3.036,3.421,5.657,10.792,16.864,19.071,12.683,21.956
AVG3(all),3.761,2.862,3.29,3.21,3.577,6.638,10.886,17.725,20.969,18.48,23.152
SWITCH-mape,1.39,1.934,2.539,3.185,3.635,6.091,11.986,18.38,20.962,14.675,24.333
SWITCH-dir,1.36,1.934,2.539,3.185,3.635,6.091,11.986,18.38,20.962,14.675,24.333
