,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIMAX,55.81,53.96,51.05,52.48,48.94,53.1,43.54,50.34,47.62,49.66,44.22
RandomForest,57.36,56.83,59.44,58.87,57.45,57.24,68.03,71.43,65.99,89.8,88.44
CNN-LSTM,56.59,40.29,51.05,55.32,42.55,50.34,44.9,60.54,19.73,61.9,100.0
AVG2(AR+RF),58.14,57.55,59.44,60.28,56.74,56.55,66.67,71.43,65.31,89.8,88.44
AVG3(all),55.04,41.01,52.45,55.32,41.13,56.55,57.82,64.63,44.9,87.76,96.6
SWITCH-mape,57.36,56.83,59.44,58.87,57.45,57.24,68.03,71.43,65.99,89.8,88.44
SWITCH-dir,57.36,56.83,59.44,58.87,57.45,57.24,68.03,71.43,65.99,89.8,88.44
Majority,54.26,58.99,58.04,61.7,57.45,61.38,66.67,70.75,74.83,90.48,100.0
