,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,1.21,1.663,2.032,2.417,2.694,4.474,7.476,12.334,15.842,11.503,18.756
ARIMAX,1.216,1.666,2.038,2.433,2.706,4.481,7.482,12.339,15.847,11.496,18.761
RandomForest,1.262,1.728,2.149,2.485,2.861,4.916,10.556,19.368,23.159,30.651,16.123
CNN-LSTM,7.996,3.063,7.812,3.233,5.046,7.362,9.322,19.953,20.23,30.157,27.885
AVG2(AR+RF),1.234,1.693,2.088,2.445,2.763,4.556,8.731,15.205,18.339,19.415,15.982
AVG3(all),2.906,1.98,3.389,2.571,2.969,5.056,8.874,16.085,18.681,21.772,18.026
SWITCH-mape,1.216,1.728,2.149,2.485,2.861,4.916,10.556,19.368,23.159,30.651,16.123
SWITCH-dir,1.262,1.728,2.149,2.485,2.861,4.916,10.556,19.368,23.159,30.651,16.123
