,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIMAX,45.86,48.21,46.71,50.31,47.93,50.3,50.29,55.09,51.16,57.8,57.47
RandomForest,49.68,53.57,53.89,57.06,55.62,62.72,63.01,67.07,67.44,76.88,78.16
CNN-LSTM,47.77,51.79,52.1,46.01,47.34,57.99,63.01,70.06,66.86,72.25,43.1
AVG2(AR+RF),48.41,53.57,53.29,53.99,53.25,62.13,63.01,67.66,67.44,76.88,78.16
AVG3(all),47.77,54.17,54.49,50.31,47.34,60.95,64.16,70.06,70.35,73.99,55.75
SWITCH-mape,49.68,53.57,53.89,57.06,55.62,62.72,63.01,67.07,67.44,76.88,78.16
SWITCH-dir,49.68,53.57,53.89,57.06,55.62,62.72,63.01,67.07,67.44,76.88,78.16
Majority,52.23,56.55,52.69,53.37,55.03,59.17,60.12,60.48,62.21,80.92,90.8
