,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,0.802,1.321,1.66,1.975,2.269,3.701,5.679,9.212,10.461,10.847,23.601
ARIMAX,0.799,1.324,1.66,1.965,2.261,3.694,5.674,9.201,10.46,10.869,23.593
RandomForest,0.824,1.371,1.743,2.085,2.437,4.119,7.205,11.429,12.316,12.719,24.206
CNN-LSTM,1.532,3.005,2.444,3.225,3.781,3.218,7.753,8.596,11.696,13.609,23.564
AVG2(AR+RF),0.795,1.335,1.672,1.995,2.322,3.874,6.336,10.083,11.359,11.441,23.611
AVG3(all),0.886,1.602,1.753,2.087,2.583,3.565,6.456,9.465,11.41,11.317,22.827
SWITCH-mape,0.824,1.371,1.743,2.085,2.437,4.119,7.205,11.429,12.316,12.719,24.206
SWITCH-dir,0.824,1.371,1.743,2.085,2.437,4.119,7.205,11.429,12.316,12.719,24.206
