,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,1.387,1.985,2.729,3.207,3.673,5.336,8.203,11.777,15.007,19.544,34.648
ARIMAX,1.387,1.987,2.726,3.201,3.671,5.334,8.192,11.774,14.995,19.527,34.624
RandomForest,1.426,2.031,2.71,3.14,3.556,5.194,8.787,16.835,19.17,32.605,37.935
CNN-LSTM,2.821,4.721,12.612,4.434,5.537,5.608,11.359,16.609,14.773,22.447,57.055
AVG2(AR+RF),1.4,1.989,2.696,3.123,3.555,5.111,7.959,12.64,14.952,16.363,25.594
AVG3(all),1.68,2.581,4.945,3.458,3.746,5.111,8.804,13.799,14.552,15.989,31.785
SWITCH-mape,1.426,2.031,2.71,3.14,3.556,5.194,8.787,16.835,19.17,32.605,37.935
SWITCH-dir,1.426,2.031,2.71,3.14,3.556,5.194,8.787,16.835,19.17,22.447,57.055
