,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,0.824,1.219,1.489,1.736,1.956,2.684,3.987,6.738,9.569,12.808,16.5
ARIMAX,1.25,1.542,1.744,1.99,2.072,2.875,4.16,6.941,9.763,12.931,16.621
RandomForest,0.851,1.258,1.587,1.907,2.142,2.829,4.036,6.84,9.319,12.349,14.505
CNN-LSTM,9.969,4.31,10.884,2.423,5.13,5.169,7.312,12.502,12.503,9.914,18.554
AVG2(AR+RF),0.973,1.312,1.579,1.81,1.986,2.634,3.855,6.443,8.682,10.802,15.125
AVG3(all),3.313,1.912,3.884,1.87,2.462,3.022,4.556,7.878,9.319,7.884,15.69
SWITCH,0.851,1.258,1.587,1.907,2.142,2.829,4.036,6.84,9.319,12.349,14.505
