,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,0.824,1.219,1.489,1.736,1.956,2.684,3.987,6.738,9.569,12.808,16.5
ARIMAX,0.844,1.249,1.518,1.76,1.984,2.711,4.025,6.738,9.576,12.815,16.481
RandomForest,0.851,1.258,1.587,1.907,2.142,2.829,4.036,6.84,9.319,12.349,14.505
CNN-LSTM,9.969,4.31,10.884,2.423,5.13,5.169,7.312,12.502,12.503,9.914,18.554
AVG2(AR+RF),0.844,1.243,1.514,1.782,2.001,2.623,3.841,6.377,8.616,10.75,15.051
AVG3(all),3.352,1.937,3.892,1.847,2.449,3.028,4.541,7.823,9.272,7.904,15.641
SWITCH-mape,0.851,1.258,1.587,1.907,2.142,2.829,4.036,6.84,9.319,12.349,14.505
SWITCH-dir,0.851,1.258,1.587,1.907,2.142,2.829,4.036,6.84,9.319,12.349,14.505
