,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,0.699,1.063,1.379,1.663,1.905,3.005,4.598,7.44,8.777,11.215,22.182
ARIMAX,0.657,1.036,1.354,1.639,1.871,2.99,4.603,7.436,8.767,11.225,22.184
RandomForest,0.707,1.097,1.421,1.736,1.987,3.171,4.673,7.204,8.711,7.979,12.597
CNN-LSTM,3.773,2.606,2.99,3.917,4.813,7.379,8.107,7.828,9.731,13.911,17.192
AVG2(AR+RF),0.672,1.062,1.373,1.66,1.907,3.035,4.585,7.283,8.73,9.272,17.022
AVG3(all),1.398,1.386,1.566,2.044,2.433,3.465,4.966,7.398,9.013,10.574,15.094
SWITCH-mape,0.707,1.097,1.421,1.736,1.987,3.171,4.673,7.204,8.711,7.979,12.597
SWITCH-dir,0.707,1.097,1.421,1.736,1.987,3.171,4.673,7.204,8.711,7.979,12.597
