,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIMAX,54.33,52.55,57.89,49.3,51.41,53.8,51.22,49.4,48.8,54.55,44.58
RandomForest,47.24,50.36,48.87,52.82,50.0,49.37,43.29,45.18,51.81,43.64,75.9
CNN-LSTM,44.88,43.8,49.62,52.82,47.18,50.0,45.73,45.18,51.81,43.64,75.9
AVG2(AR+RF),45.67,49.64,49.62,53.52,50.7,50.0,43.29,45.18,51.81,43.64,75.9
AVG3(all),44.88,46.72,49.62,50.7,50.7,50.0,46.34,45.18,51.81,43.64,75.9
SWITCH-mape,54.33,50.36,48.87,52.82,50.0,49.37,43.29,45.18,51.81,43.64,75.9
SWITCH-dir,47.24,50.36,48.87,52.82,50.0,49.37,43.29,45.18,51.81,43.64,75.9
Majority,55.12,50.36,50.38,52.82,50.0,50.0,54.27,54.82,51.81,56.36,75.9
