,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,1.512,2.139,2.699,3.036,3.517,5.241,8.114,11.337,12.43,18.095,31.162
ARIMAX,1.934,2.476,3.021,3.309,3.724,5.362,8.103,11.231,12.378,18.048,31.189
RandomForest,1.514,2.156,2.712,3.082,3.478,5.146,8.327,10.869,12.008,12.777,27.957
CNN-LSTM,3.366,7.403,13.574,7.722,7.465,6.992,8.82,11.051,13.092,22.45,66.161
AVG2(AR+RF),1.601,2.221,2.787,3.129,3.536,5.201,8.101,10.743,11.018,13.373,24.796
AVG3(all),1.83,3.275,4.898,4.046,3.994,5.4,7.799,10.307,11.033,15.157,33.853
SWITCH,1.514,2.156,2.712,3.082,3.478,5.146,8.327,10.869,12.008,12.777,27.957
