,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,1.008,1.229,1.691,1.855,2.159,3.173,5.252,8.5,11.136,14.73,24.159
ARIMAX,1.315,1.495,1.907,2.045,2.355,3.366,5.578,8.673,11.301,14.948,24.377
RandomForest,1.108,1.256,1.713,1.834,2.125,2.915,4.268,6.483,8.684,14.335,15.078
CNN-LSTM,3.992,3.291,3.231,3.55,5.401,3.875,7.505,9.16,22.996,16.408,9.068
AVG2(AR+RF),1.129,1.291,1.755,1.867,2.169,2.994,4.717,6.823,9.2,10.349,15.098
AVG3(all),1.742,1.743,2.028,2.024,2.768,3.155,5.426,7.092,12.881,11.832,11.231
SWITCH,1.108,1.256,1.713,1.834,2.125,2.915,4.268,6.483,8.684,14.335,15.078
