,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,1.508,2.29,2.99,3.452,4.03,5.604,9.1,13.219,15.044,19.901,33.101
ARIMAX,2.417,2.875,3.59,3.994,4.583,5.861,9.347,13.338,15.245,20.093,33.305
RandomForest,1.519,2.291,3.0,3.478,4.048,5.602,8.197,13.154,16.483,11.706,24.632
CNN-LSTM,3.04,3.949,4.723,4.084,5.121,5.811,9.9,14.188,18.827,29.8,47.419
AVG2(AR+RF),1.836,2.433,3.195,3.652,4.201,5.631,8.694,12.832,14.991,15.019,24.097
AVG3(all),1.855,2.69,3.31,3.662,4.276,5.444,8.943,12.956,15.518,18.585,29.399
SWITCH,1.519,2.291,3.0,3.478,4.048,5.602,8.197,13.154,16.483,11.706,24.632
