,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,0.802,1.321,1.66,1.975,2.269,3.701,5.679,9.212,10.461,10.847,23.601
ARIMAX,1.325,1.672,1.971,2.262,2.56,3.879,5.77,9.297,10.54,10.875,23.675
RandomForest,0.824,1.371,1.743,2.085,2.437,4.119,7.205,11.429,12.316,12.719,24.206
CNN-LSTM,1.532,3.005,2.444,3.225,3.781,3.218,7.753,8.596,11.696,13.609,23.564
AVG2(AR+RF),1.026,1.445,1.811,2.12,2.435,3.96,6.397,10.131,11.374,11.398,23.624
AVG3(all),1.023,1.688,1.817,2.134,2.654,3.615,6.508,9.488,11.415,11.318,22.836
SWITCH,0.824,1.371,1.743,2.085,2.437,4.119,7.205,11.429,12.316,12.719,24.206
