,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,1.387,1.985,2.729,3.207,3.673,5.336,8.203,11.777,15.007,19.544,34.648
ARIMAX,2.208,2.59,3.197,3.584,4.054,5.586,8.391,11.958,15.255,19.815,34.966
RandomForest,1.426,2.031,2.71,3.14,3.556,5.194,8.787,16.835,19.17,32.605,37.935
CNN-LSTM,2.821,4.721,12.612,4.434,5.537,5.608,11.359,16.609,14.773,22.447,57.055
AVG2(AR+RF),1.691,2.198,2.848,3.257,3.652,5.213,8.074,12.686,14.867,16.382,25.63
AVG3(all),1.814,2.742,4.951,3.535,3.774,5.146,8.887,13.75,14.497,15.987,31.893
SWITCH,1.426,2.031,2.71,3.14,3.556,5.194,8.787,16.835,19.17,32.605,37.935
