,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,1.21,1.663,2.032,2.417,2.694,4.474,7.476,12.334,15.842,11.503,18.756
ARIMAX,1.685,2.009,2.367,2.845,3.173,4.747,7.647,12.47,15.963,11.315,18.856
RandomForest,1.262,1.728,2.149,2.485,2.861,4.916,10.556,19.368,23.159,30.651,16.123
CNN-LSTM,7.996,3.063,7.812,3.233,5.046,7.362,9.322,19.953,20.23,30.157,27.885
AVG2(AR+RF),1.339,1.761,2.141,2.586,2.875,4.649,8.769,15.236,18.358,19.33,16.055
AVG3(all),2.91,2.016,3.412,2.666,3.053,5.114,8.903,16.073,18.687,21.694,18.086
SWITCH,1.262,1.728,2.149,2.485,2.861,4.916,10.556,19.368,23.159,30.651,16.123
