,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIMAX,47.95,55.03,55.48,56.77,57.96,57.32,58.86,52.53,50.0,42.41,46.2
RandomForest,36.3,42.95,40.65,43.87,42.04,41.4,34.81,40.51,47.44,70.89,82.91
CNN-LSTM,33.56,40.94,49.03,52.9,61.15,38.85,35.44,41.77,51.28,70.89,82.28
AVG2(AR+RF),35.62,43.62,41.94,43.23,42.68,40.13,34.18,40.51,47.44,69.62,82.91
AVG3(all),33.56,40.94,45.81,49.68,60.51,38.85,34.81,39.24,51.28,70.89,82.28
SWITCH-mape,36.3,42.95,40.65,43.87,42.04,41.4,34.81,40.51,47.44,70.89,82.91
SWITCH-dir,47.95,42.95,40.65,43.87,42.04,41.4,34.81,40.51,47.44,70.89,82.91
Majority,66.44,60.4,63.87,61.94,63.69,61.15,67.09,60.76,51.28,70.89,82.28
