,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,0.699,1.063,1.379,1.663,1.905,3.005,4.598,7.44,8.777,11.215,22.182
ARIMAX,1.032,1.351,1.592,1.883,2.089,3.109,4.674,7.483,8.833,11.168,22.172
RandomForest,0.707,1.097,1.421,1.736,1.987,3.171,4.673,7.204,8.711,7.979,12.597
CNN-LSTM,3.773,2.606,2.99,3.917,4.813,7.379,8.107,7.828,9.731,13.911,17.192
AVG2(AR+RF),0.839,1.185,1.465,1.762,2.006,3.102,4.596,7.3,8.752,9.225,16.989
AVG3(all),1.452,1.481,1.623,2.084,2.473,3.509,5.012,7.413,9.03,10.55,15.081
SWITCH,0.707,1.097,1.421,1.736,1.987,3.171,4.673,7.204,8.711,7.979,12.597
