,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,1.008,1.229,1.691,1.855,2.159,3.173,5.252,8.5,11.136,14.73,24.159
ARIMAX,1.032,1.256,1.722,1.871,2.184,3.193,5.302,8.528,11.173,14.768,24.203
RandomForest,1.108,1.256,1.713,1.834,2.125,2.915,4.268,6.483,8.684,14.335,15.078
CNN-LSTM,3.992,3.291,3.231,3.55,5.401,3.875,7.505,9.16,22.996,16.408,9.068
AVG2(AR+RF),1.045,1.225,1.682,1.797,2.11,2.93,4.625,6.772,9.169,10.399,15.03
AVG3(all),1.681,1.688,1.972,2.024,2.72,3.102,5.357,7.057,12.821,11.879,11.225
SWITCH-mape,1.108,1.256,1.713,1.834,2.125,2.915,4.268,6.483,8.684,14.335,15.078
SWITCH-dir,1.108,1.256,1.713,1.834,2.125,2.915,4.268,6.483,8.684,14.335,15.078
