,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,1.512,2.139,2.699,3.036,3.517,5.241,8.114,11.337,12.43,18.095,31.162
ARIMAX,1.53,2.145,2.694,3.027,3.509,5.235,8.113,11.344,12.439,18.099,31.155
RandomForest,1.514,2.156,2.712,3.082,3.478,5.146,8.327,10.869,12.008,12.777,27.957
CNN-LSTM,3.366,7.403,13.574,7.722,7.465,6.992,8.82,11.051,13.092,22.45,66.161
AVG2(AR+RF),1.521,2.143,2.686,3.036,3.477,5.144,8.116,10.839,11.062,13.418,24.877
AVG3(all),1.805,3.216,4.877,3.989,4.004,5.399,7.8,10.357,11.03,15.209,33.818
SWITCH-mape,1.514,2.156,2.712,3.082,3.478,5.146,8.327,10.869,12.008,12.777,27.957
SWITCH-dir,1.514,2.156,2.712,3.082,3.478,5.146,8.327,10.869,12.008,12.777,27.957
