,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIMAX,52.23,46.91,53.85,54.49,55.03,51.74,54.07,48.55,49.13,52.91,56.32
RandomForest,48.41,53.09,49.11,49.1,49.11,52.91,64.53,64.16,63.01,82.56,90.23
CNN-LSTM,52.23,46.3,55.62,47.9,53.25,62.21,51.74,54.34,30.06,19.19,16.09
AVG2(AR+RF),52.87,50.0,50.89,52.69,52.07,55.81,63.95,64.16,62.43,82.56,89.66
AVG3(all),52.23,44.44,55.62,46.11,53.25,62.21,52.91,68.21,50.29,50.0,70.69
SWITCH-mape,52.23,53.09,49.11,49.1,49.11,52.91,64.53,64.16,63.01,82.56,90.23
SWITCH-dir,48.41,53.09,49.11,49.1,49.11,52.91,64.53,64.16,63.01,82.56,90.23
Majority,53.5,51.23,53.25,55.09,55.03,61.05,58.14,59.54,71.68,92.44,94.83
