,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIMAX,54.61,52.03,51.59,49.69,49.69,49.38,52.47,50.92,54.88,51.52,52.73
RandomForest,52.48,53.38,55.41,54.09,56.52,56.17,51.23,50.31,53.05,87.27,92.12
CNN-LSTM,39.01,44.59,47.13,44.65,52.17,58.64,51.23,58.28,64.63,40.61,7.88
AVG2(AR+RF),54.61,56.76,54.78,55.97,56.52,56.17,51.23,50.31,53.05,87.27,92.12
AVG3(all),44.68,49.32,47.13,46.54,50.31,59.88,52.47,57.06,64.02,67.27,46.06
SWITCH-mape,52.48,53.38,55.41,54.09,56.52,56.17,51.23,50.31,53.05,87.27,92.12
SWITCH-dir,52.48,53.38,55.41,54.09,56.52,56.17,51.23,50.31,53.05,40.61,7.88
Majority,53.9,52.7,52.87,52.2,52.8,58.02,54.94,53.37,58.54,87.27,92.12
