,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIMAX,65.73,58.43,58.43,59.55,57.87,53.67,49.44,47.75,52.25,51.12,51.12
RandomForest,47.19,45.51,48.31,47.75,44.94,42.94,44.94,56.18,60.67,89.89,93.26
CNN-LSTM,50.56,48.31,44.94,48.88,47.19,62.15,57.87,56.18,52.25,53.93,93.26
AVG2(AR+RF),61.8,49.44,50.0,50.56,48.88,44.07,45.51,55.06,60.67,89.89,93.26
AVG3(all),51.12,50.56,47.19,48.88,46.63,59.89,58.43,58.43,55.06,58.99,93.26
SWITCH-mape,47.19,45.51,48.31,47.75,44.94,42.94,44.94,56.18,60.67,89.89,93.26
SWITCH-dir,47.19,45.51,48.31,47.75,44.94,42.94,44.94,56.18,60.67,89.89,93.26
Majority,51.69,55.62,54.49,53.37,55.06,55.93,55.62,56.18,55.06,89.89,93.26
