,1d,2d,3d,4d,5d,2w,1mo,2mo,3mo,6mo,1yr
Naive,1.318,1.818,2.356,2.926,3.276,5.341,9.675,15.594,18.09,14.464,23.63
ARIMAX,1.781,2.255,2.681,3.266,3.558,5.482,9.755,15.53,18.133,14.532,23.765
RandomForest,1.39,1.934,2.539,3.185,3.635,6.091,11.986,18.38,20.962,14.675,24.333
CNN-LSTM,9.656,5.522,6.349,5.556,5.362,9.286,11.072,19.512,26.439,39.664,34.625
AVG2(AR+RF),1.459,1.979,2.511,3.12,3.518,5.736,10.851,16.829,19.051,12.636,22.032
AVG3(all),3.746,2.916,3.35,3.311,3.571,6.663,10.925,17.702,20.946,18.438,23.184
SWITCH,1.39,1.934,2.539,3.185,3.635,6.091,11.986,18.38,20.962,14.675,24.333
