target,split,model,RMSE,MAE,MAPE_%,R2,Theil_U2,dir_acc_%,DM_vs_naive,DM_p_vs_naive,DM_vs_ARIMA,DM_p_vs_ARIMA
HNB,WF 2019,Naive (random walk),2.3739,1.4563,0.9884,0.9822,1.0,38.9,,,-1.364,0.1726
HNB,WF 2019,"ARIMA(2, 1, 0)",2.3983,1.4713,0.9987,0.9819,1.0103,45.0,1.364,0.1726,,
HNB,WF 2019,LSTM (univariate),2.3944,1.607,1.0981,0.9819,1.0087,45.0,0.31,0.7563,-0.049,0.9607
HNB,WF 2019,Hybrid ARIMA+LSTM,2.3926,1.5982,1.0928,0.982,1.0079,47.2,0.272,0.7855,-0.071,0.9437
HNB,WF 2019,Hybrid+MacroNews,2.5932,1.8543,1.259,0.9788,1.0924,43.7,4.097,0.0,3.039,0.0024
HNB,WF 2020,Naive (random walk),2.5111,1.4854,1.3961,0.976,1.0,49.3,,,1.06,0.2893
HNB,WF 2020,"ARIMA(2, 1, 0)",2.4946,1.4864,1.3963,0.9763,0.9934,52.7,-1.06,0.2893,,
HNB,WF 2020,LSTM (univariate),2.554,1.5289,1.439,0.9752,1.0171,51.7,1.691,0.0909,1.757,0.0789
HNB,WF 2020,Hybrid ARIMA+LSTM,2.5682,1.5446,1.4536,0.9749,1.0227,52.2,2.141,0.0322,2.209,0.0272
HNB,WF 2020,Hybrid+MacroNews,2.7,1.6641,1.5643,0.9722,1.0752,49.3,3.443,0.0006,3.227,0.0012
HNB,WF 2021,Naive (random walk),2.1045,1.4161,1.1141,0.946,1.0,39.5,,,-1.81,0.0702
HNB,WF 2021,"ARIMA(2, 1, 0)",2.148,1.4424,1.1356,0.9437,1.0207,42.0,1.81,0.0702,,
HNB,WF 2021,LSTM (univariate),2.1309,1.4329,1.1282,0.9446,1.0125,42.4,0.884,0.377,-0.809,0.4188
HNB,WF 2021,Hybrid ARIMA+LSTM,2.1565,1.4611,1.1503,0.9433,1.0247,42.0,1.224,0.2209,0.271,0.7861
HNB,WF 2021,Hybrid+MacroNews,2.1522,1.5066,1.1873,0.9435,1.0227,42.4,1.217,0.2237,0.087,0.9306
HNB,WF 2022,Naive (random walk),2.335,1.467,1.6676,0.9891,1.0,39.4,,,-0.039,0.969
HNB,WF 2022,"ARIMA(2, 1, 0)",2.3358,1.4935,1.696,0.9891,1.0003,40.9,0.039,0.969,,
HNB,WF 2022,LSTM (univariate),2.3553,1.5008,1.7057,0.9889,1.0087,37.8,0.779,0.436,0.579,0.5624
HNB,WF 2022,Hybrid ARIMA+LSTM,2.3358,1.4895,1.6958,0.9891,1.0003,38.9,0.029,0.9766,-0.0,0.9998
HNB,WF 2022,Hybrid+MacroNews,2.4419,1.6091,1.8226,0.988,1.0458,42.0,2.005,0.045,2.066,0.0388
HNB,WF 2023,Naive (random walk),3.1527,2.0743,1.5507,0.9909,1.0,43.8,,,-0.775,0.4386
HNB,WF 2023,"ARIMA(2, 1, 0)",3.1674,2.1151,1.5863,0.9908,1.0047,44.6,0.775,0.4386,,
HNB,WF 2023,LSTM (univariate),3.1492,2.1059,1.5813,0.9909,0.9989,43.8,-0.196,0.8443,-0.949,0.3428
HNB,WF 2023,Hybrid ARIMA+LSTM,3.1537,2.1207,1.5903,0.9909,1.0003,45.0,0.045,0.9643,-0.717,0.4731
HNB,WF 2023,Hybrid+MacroNews,3.2941,2.2541,1.6759,0.9901,1.0449,43.8,2.137,0.0326,1.883,0.0597
HNB,WF 2024,Naive (random walk),3.4786,2.3763,1.1962,0.9884,1.0,49.6,,,2.283,0.0224
HNB,WF 2024,"ARIMA(2, 1, 0)",3.4034,2.352,1.1878,0.9889,0.9784,52.5,-2.283,0.0224,,
HNB,WF 2024,LSTM (univariate),3.3505,2.3494,1.1923,0.9892,0.9632,53.3,-2.174,0.0297,-1.47,0.1416
HNB,WF 2024,Hybrid ARIMA+LSTM,3.3243,2.3574,1.1991,0.9894,0.9557,52.9,-1.952,0.0509,-1.395,0.1629
HNB,WF 2024,Hybrid+MacroNews,3.4821,2.4122,1.2177,0.9884,1.001,51.2,0.097,0.923,1.968,0.049
HNB,WF 2025,Naive (random walk),5.2263,3.6051,1.0573,0.9824,1.0,48.7,,,-0.885,0.3762
HNB,WF 2025,"ARIMA(2, 1, 0)",5.3774,3.6723,1.0779,0.9813,1.0289,50.0,0.885,0.3762,,
HNB,WF 2025,LSTM (univariate),5.4771,3.7337,1.0956,0.9806,1.048,47.9,1.541,0.1233,0.978,0.3282
HNB,WF 2025,Hybrid ARIMA+LSTM,5.4712,3.7303,1.0955,0.9807,1.0469,47.9,1.615,0.1062,0.933,0.3511
HNB,WF 2025,Hybrid+MacroNews,5.3582,3.6912,1.0841,0.9815,1.0252,50.8,0.777,0.4373,-0.273,0.7846
