Model,OneStep_MAE,OneStep_MAPE,OneStep_RMSE,MultiStep_MAE,MultiStep_MAPE,MultiStep_RMSE
Naive,37.057992,0.788024,56.162411,1788.885216,33.233024,2162.526235
ARIMA,36.417397,0.769894,56.249002,1792.766693,33.318652,2165.884464
LSTM,140.515072,2.490772,198.095909,1913.888396,35.932663,2276.950609
Hybrid,36.247322,0.766089,56.148822,1792.140701,33.304801,2165.345627
