model,protocol,MAE,MAPE,RMSE
Naive,one-step,1.25,0.31365786790559175,1.699673171197595
Naive,multi-step,8.305555555555555,2.1148489170752462,9.711819831753699
ARIMA,one-step,1.25,0.31365786790559175,1.699673171197595
ARIMA,multi-step,8.305555555555706,2.114848917075285,9.71181983175384
LSTM,one-step,8.707605997721354,2.215706710575667,9.92077477324369
LSTM,multi-step,9.22713234523932,2.348430720402854,10.586234292216337
Hybrid,one-step,1.2395820323791769,0.31108160605199037,1.6625021517988539
Hybrid,multi-step,8.305555555555706,2.114848917075285,9.71181983175384
