model,protocol,MAE,MAPE,RMSE
Naive,one-step,1.2444496835458159,0.3262041496670373,2.1523487411990274
Naive,multi-step,90.88441171913013,22.79452194464219,98.0768090769769
ARIMA,one-step,1.2519801250689375,0.32790143488397283,2.1581386631161106
ARIMA,multi-step,90.96760555390705,22.816029010180035,98.15744697559894
LSTM,one-step,8.45791275861284,2.1175553515216214,9.623049331324381
LSTM,multi-step,74.20961466438165,18.532163701408315,81.51180476146126
Hybrid,one-step,1.264381530247439,0.33105187194012353,2.1568399904932125
Hybrid,multi-step,90.88512205164068,22.794707822585064,98.0775099066174
