model,protocol,MAE,MAPE,RMSE
Naive,one-step,89.68863636363639,1.5073159493441235,117.10027530827041
Naive,multi-step,322.96636363636344,5.499765656304486,365.35145788927406
ARIMA,one-step,97.91852985646314,1.6457954176974317,125.35690036384973
ARIMA,multi-step,370.24645709333254,6.293414636241981,408.2460264253623
LSTM,one-step,170.67716530539758,2.8651540964809286,199.17903368180387
LSTM,multi-step,210.13599599616083,3.5795525972478064,244.1045706465607
