Model,OneStep_MAE,OneStep_MAPE,OneStep_RMSE,MultiStep_MAE,MultiStep_MAPE,MultiStep_RMSE
Naive,34.3944,1.0317,52.9811,1060.3562,24.4208,1555.2193
ARIMA,33.6106,1.0039,51.9364,1060.4395,24.423,1555.2931
LSTM,183.9357,4.541,310.7995,835.8577,19.5555,1311.8999
Hybrid,33.9566,1.0137,52.1671,1063.1893,24.4959,1557.7246
