Model,OneStep_MAE,OneStep_MAPE,OneStep_RMSE,MultiStep_MAE,MultiStep_MAPE,MultiStep_RMSE
Naive,36.6384,1.0466,55.7143,1342.7005,30.4957,1806.4685
ARIMA,36.2221,1.0316,55.2369,1329.1454,30.1056,1795.9131
LSTM,112.4882,2.651,172.2264,1305.3628,29.4271,1777.1132
Hybrid,36.3779,1.0359,55.3922,1331.072,30.1609,1797.4177
