ticker,group,phase,horizon_days,horizon,n_test,indep_windows,acc_%,baseline_%,edge_pp,beats_baseline,ret_ratio,sign_edge_pp
LOFC,finance,D,10,2 weeks,626,62.6,41.5,45.2,-3.7,False,1.135,-23.3
LOFC,finance,A,15,3 weeks,625,41.7,37.4,39.5,-2.1,False,1.009,-22.6
LOFC,finance,D,15,3 weeks,625,41.7,38.9,39.5,-0.6,False,1.22,-20.3
LOFC,finance,A,22,1 month,624,28.4,31.9,43.1,-11.2,False,1.021,-17.9
LOFC,finance,D,22,1 month,624,28.4,39.9,43.1,-3.2,False,1.379,-12.0
LOFC,finance,A,44,2 months,619,14.1,35.2,41.8,-6.6,False,0.991,-14.1
LOFC,finance,D,44,2 months,619,14.1,43.9,41.8,2.1,True,1.517,-3.4
LOFC,finance,A,66,3 months,614,9.3,37.8,38.1,-0.3,False,1.006,-18.4
LOFC,finance,D,66,3 months,614,9.3,57.2,38.1,19.1,True,1.381,0.5
LOFC,finance,A,132,6 months,587,4.4,36.6,30.5,6.1,True,1.15,-3.2
LOFC,finance,D,132,6 months,587,4.4,55.2,30.5,24.7,True,3.474,28.6
LOFC,finance,A,252,1 year,539,2.1,35.3,37.1,-1.9,False,1.051,-2.0
LOFC,finance,D,252,1 year,539,2.1,34.0,37.1,-3.2,False,3.151,-2.0
LOLC,finance,A,1,1 day,625,625.0,37.0,36.8,0.2,True,1.001,-12.6
LOLC,finance,D,1,1 day,625,625.0,36.0,36.8,-0.8,False,1.034,-13.3
LOLC,finance,A,5,1 week,625,125.0,34.9,40.2,-5.3,False,1.012,-8.2
LOLC,finance,D,5,1 week,625,125.0,34.2,40.2,-5.9,False,1.159,-7.5
LOLC,finance,A,10,2 weeks,624,62.4,35.1,41.8,-6.7,False,1.024,-2.1
LOLC,finance,D,10,2 weeks,624,62.4,33.2,41.8,-8.7,False,1.381,-10.1
LOLC,finance,A,15,3 weeks,623,41.5,40.4,44.3,-3.9,False,1.04,-2.4
LOLC,finance,D,15,3 weeks,623,41.5,32.6,44.3,-11.7,False,1.603,-13.6
LOLC,finance,A,22,1 month,621,28.2,39.0,45.7,-6.8,False,1.065,-0.6
LOLC,finance,D,22,1 month,621,28.2,38.2,45.7,-7.6,False,1.823,-7.4
LOLC,finance,A,44,2 months,617,14.0,39.2,38.9,0.3,True,1.056,-7.6
LOLC,finance,D,44,2 months,617,14.0,37.8,38.9,-1.1,False,1.893,-3.1
LOLC,finance,A,66,3 months,612,9.3,33.0,33.5,-0.5,False,1.014,-8.8
LOLC,finance,D,66,3 months,612,9.3,38.1,33.5,4.6,True,1.678,-6.5
LOLC,finance,A,132,6 months,585,4.4,44.6,45.8,-1.2,False,1.087,0.0
LOLC,finance,D,132,6 months,585,4.4,48.7,45.8,2.9,True,2.251,1.2
LOLC,finance,A,252,1 year,537,2.1,36.5,62.0,-25.5,False,0.956,0.0
LOLC,finance,D,252,1 year,537,2.1,58.3,62.0,-3.7,False,2.695,1.1
LFIN,finance,A,1,1 day,609,609.0,34.5,33.8,0.7,True,1.016,-5.6
LFIN,finance,D,1,1 day,609,609.0,39.4,33.8,5.6,True,1.03,-3.4
LFIN,finance,A,5,1 week,608,121.6,35.7,43.1,-7.4,False,1.016,-4.1
LFIN,finance,D,5,1 week,608,121.6,42.1,43.1,-1.0,False,1.045,-1.2
LFIN,finance,A,10,2 weeks,607,60.7,36.2,47.4,-11.2,False,1.012,-0.8
LFIN,finance,D,10,2 weeks,607,60.7,44.3,47.4,-3.1,False,1.051,-5.8
LFIN,finance,A,15,3 weeks,606,40.4,34.8,51.8,-17.0,False,1.008,-0.8
LFIN,finance,D,15,3 weeks,606,40.4,46.0,51.8,-5.8,False,1.029,-7.1
LFIN,finance,A,22,1 month,605,27.5,35.2,53.7,-18.5,False,1.003,0.0
LFIN,finance,D,22,1 month,605,27.5,47.4,53.7,-6.3,False,1.023,-4.3
LFIN,finance,A,44,2 months,600,13.6,36.8,61.7,-24.8,False,0.992,0.0
LFIN,finance,D,44,2 months,600,13.6,47.0,61.7,-14.7,False,1.058,-0.7
LFIN,finance,A,66,3 months,595,9.0,33.4,62.5,-29.1,False,1.001,0.0
LFIN,finance,D,66,3 months,595,9.0,47.7,62.5,-14.8,False,1.217,-0.8
LFIN,finance,A,132,6 months,568,4.3,40.1,78.3,-38.2,False,0.989,0.0
LFIN,finance,D,132,6 months,568,4.3,58.5,78.3,-19.9,False,1.654,-2.6
LFIN,finance,A,252,1 year,520,2.1,45.6,88.7,-43.1,False,0.973,0.0
LFIN,finance,D,252,1 year,520,2.1,78.3,88.7,-10.4,False,0.982,-6.7
CFIN,finance,A,1,1 day,616,616.0,37.2,34.1,3.1,True,1.006,-15.6
CFIN,finance,D,1,1 day,616,616.0,39.9,34.1,5.8,True,0.996,-9.7
CFIN,finance,A,5,1 week,615,123.0,33.8,34.8,-1.0,False,1.006,-3.3
CFIN,finance,D,5,1 week,615,123.0,41.0,34.8,6.2,True,1.019,-3.7
CFIN,finance,A,10,2 weeks,614,61.4,35.2,37.1,-2.0,False,0.999,2.6
CFIN,finance,D,10,2 weeks,614,61.4,39.7,37.1,2.6,True,1.031,1.6
CFIN,finance,A,15,3 weeks,613,40.9,36.4,42.4,-6.0,False,1.006,2.6
CFIN,finance,D,15,3 weeks,613,40.9,42.7,42.4,0.3,True,1.058,-1.1
CFIN,finance,A,22,1 month,612,27.8,37.1,48.0,-10.9,False,1.004,0.0
CFIN,finance,D,22,1 month,612,27.8,42.0,48.0,-6.0,False,1.076,0.0
CFIN,finance,A,44,2 months,608,13.8,41.3,48.7,-7.4,False,1.005,-1.3
CFIN,finance,D,44,2 months,608,13.8,40.6,48.7,-8.1,False,1.131,-7.2
CFIN,finance,A,66,3 months,602,9.1,33.4,49.2,-15.8,False,1.019,-1.7
CFIN,finance,D,66,3 months,602,9.1,45.7,49.2,-3.5,False,1.15,-5.5
CFIN,finance,A,132,6 months,576,4.4,33.9,63.9,-30.0,False,1.018,-20.3
CFIN,finance,D,132,6 months,576,4.4,43.4,63.9,-20.5,False,1.005,-11.3
CFIN,finance,A,252,1 year,528,2.1,20.1,69.7,-49.6,False,1.018,-64.0
CFIN,finance,D,252,1 year,528,2.1,41.3,69.7,-28.4,False,1.014,-40.7
JKH,control,A,1,1 day,660,660.0,39.4,42.1,-2.7,False,1.0,-11.8
