group,horizon_days,label,fold,test_from,n_test,acc_logistic_%,acc_xgboost_%,best_model,best_acc_%,baseline_%,edge_pp,mag_weighted_edge_pp
FINANCE,10,binary up/down,14,2024-01,115,41.7,47.0,XGBoost,47.0,48.7,-1.7,-15.3
FINANCE,10,binary up/down,15,2024-07,125,59.2,56.0,Logistic,59.2,66.4,-7.2,-12.7
FINANCE,10,binary up/down,16,2025-01,114,52.6,48.2,Logistic,52.6,64.0,-11.4,-11.1
FINANCE,10,binary up/down,17,2025-07,124,52.4,61.3,XGBoost,61.3,62.9,-1.6,4.9
FINANCE,10,binary up/down,18,2026-01,118,51.7,53.4,XGBoost,53.4,55.1,-1.7,15.0
FINANCE,10,3-class Buy/Hold/Sell,0,2017-01,77,49.4,42.9,Logistic,49.4,76.6,-27.3,-31.2
FINANCE,10,3-class Buy/Hold/Sell,1,2017-07,54,33.3,25.9,Logistic,33.3,44.4,-11.1,-37.0
FINANCE,10,3-class Buy/Hold/Sell,2,2018-01,60,31.7,30.0,Logistic,31.7,31.7,0.0,10.0
FINANCE,10,3-class Buy/Hold/Sell,3,2018-07,46,21.7,23.9,XGBoost,23.9,41.3,-17.4,-44.5
FINANCE,10,3-class Buy/Hold/Sell,4,2019-01,47,36.2,23.4,Logistic,36.2,51.1,-14.9,-19.4
FINANCE,10,3-class Buy/Hold/Sell,5,2019-07,70,27.1,37.1,XGBoost,37.1,62.9,-25.7,-54.5
FINANCE,10,3-class Buy/Hold/Sell,6,2020-01,51,54.9,39.2,Logistic,54.9,37.3,17.6,42.2
FINANCE,10,3-class Buy/Hold/Sell,7,2020-07,122,27.9,33.6,XGBoost,33.6,48.4,-14.8,-53.6
FINANCE,10,3-class Buy/Hold/Sell,8,2021-01,109,54.1,49.5,Logistic,54.1,48.6,5.5,-4.1
FINANCE,10,3-class Buy/Hold/Sell,9,2021-07,124,35.5,35.5,Logistic,35.5,72.6,-37.1,-48.6
FINANCE,10,3-class Buy/Hold/Sell,10,2022-01,89,53.9,41.6,Logistic,53.9,52.8,1.1,36.6
FINANCE,10,3-class Buy/Hold/Sell,11,2022-07,91,44.0,33.0,Logistic,44.0,45.1,-1.1,-14.3
FINANCE,10,3-class Buy/Hold/Sell,12,2023-01,119,37.0,36.1,Logistic,37.0,42.9,-5.9,-26.9
FINANCE,10,3-class Buy/Hold/Sell,13,2023-07,123,40.7,31.7,Logistic,40.7,37.4,3.3,1.6
FINANCE,10,3-class Buy/Hold/Sell,14,2024-01,115,21.7,30.4,XGBoost,30.4,40.0,-9.6,-36.9
FINANCE,10,3-class Buy/Hold/Sell,15,2024-07,125,39.2,36.8,Logistic,39.2,50.4,-11.2,-31.3
FINANCE,10,3-class Buy/Hold/Sell,16,2025-01,114,33.3,38.6,XGBoost,38.6,49.1,-10.5,-21.8
FINANCE,10,3-class Buy/Hold/Sell,17,2025-07,124,42.7,41.1,Logistic,42.7,41.9,0.8,-26.2
FINANCE,10,3-class Buy/Hold/Sell,18,2026-01,118,27.1,23.7,Logistic,27.1,44.1,-16.9,-3.5
FINANCE,22,binary up/down,0,2017-01,77,42.9,27.3,Logistic,42.9,81.8,-39.0,-45.3
FINANCE,22,binary up/down,1,2017-07,54,46.3,48.1,XGBoost,48.1,61.1,-13.0,-20.8
FINANCE,22,binary up/down,2,2018-01,60,38.3,26.7,Logistic,38.3,50.0,-11.7,32.6
FINANCE,22,binary up/down,3,2018-07,46,52.2,45.7,Logistic,52.2,63.0,-10.9,-8.7
FINANCE,22,binary up/down,4,2019-01,47,55.3,48.9,Logistic,55.3,72.3,-17.0,-19.2
FINANCE,22,binary up/down,5,2019-07,70,47.1,65.7,XGBoost,65.7,82.9,-17.1,-16.2
FINANCE,22,binary up/down,6,2020-01,51,76.5,66.7,Logistic,76.5,29.4,47.1,52.5
FINANCE,22,binary up/down,7,2020-07,122,51.6,59.0,XGBoost,59.0,77.0,-18.0,-43.8
FINANCE,22,binary up/down,8,2021-01,109,49.5,56.0,XGBoost,56.0,68.8,-12.8,-16.0
FINANCE,22,binary up/down,9,2021-07,124,42.7,51.6,XGBoost,51.6,87.1,-35.5,-48.1
FINANCE,22,binary up/down,10,2022-01,89,43.8,52.8,XGBoost,52.8,64.0,-11.2,38.9
FINANCE,22,binary up/down,11,2022-07,91,44.0,52.7,XGBoost,52.7,56.0,-3.3,8.0
FINANCE,22,binary up/down,12,2023-01,119,62.2,52.9,Logistic,62.2,62.2,0.0,-6.9
FINANCE,22,binary up/down,13,2023-07,123,40.7,44.7,XGBoost,44.7,75.6,-30.9,9.4
FINANCE,22,binary up/down,14,2024-01,115,54.8,49.6,Logistic,54.8,61.7,-7.0,-21.0
FINANCE,22,binary up/down,15,2024-07,125,75.2,66.4,Logistic,75.2,82.4,-7.2,-11.9
FINANCE,22,binary up/down,16,2025-01,114,61.4,64.9,XGBoost,64.9,71.1,-6.1,-4.6
FINANCE,22,binary up/down,17,2025-07,124,51.6,50.8,Logistic,51.6,61.3,-9.7,-13.1
FINANCE,22,3-class Buy/Hold/Sell,0,2017-01,77,42.9,22.1,Logistic,42.9,72.7,-29.9,-39.2
FINANCE,22,3-class Buy/Hold/Sell,1,2017-07,54,48.1,31.5,Logistic,48.1,42.6,5.6,-19.8
FINANCE,22,3-class Buy/Hold/Sell,2,2018-01,60,35.0,15.0,Logistic,35.0,41.7,-6.7,32.1
FINANCE,22,3-class Buy/Hold/Sell,3,2018-07,46,30.4,30.4,Logistic,30.4,34.8,-4.3,-13.4
FINANCE,22,3-class Buy/Hold/Sell,4,2019-01,47,40.4,23.4,Logistic,40.4,57.4,-17.0,-24.0
FINANCE,22,3-class Buy/Hold/Sell,5,2019-07,70,25.7,47.1,XGBoost,47.1,71.4,-24.3,-53.9
FINANCE,22,3-class Buy/Hold/Sell,6,2020-01,51,56.9,62.7,XGBoost,62.7,25.5,37.3,45.8
FINANCE,22,3-class Buy/Hold/Sell,7,2020-07,122,29.5,32.0,XGBoost,32.0,60.7,-28.7,-65.4
FINANCE,22,3-class Buy/Hold/Sell,8,2021-01,109,50.5,42.2,Logistic,50.5,56.9,-6.4,-24.8
FINANCE,22,3-class Buy/Hold/Sell,9,2021-07,124,17.7,28.2,XGBoost,28.2,83.1,-54.8,-77.9
FINANCE,22,3-class Buy/Hold/Sell,10,2022-01,89,38.2,44.9,XGBoost,44.9,58.4,-13.5,35.2
FINANCE,22,3-class Buy/Hold/Sell,11,2022-07,91,36.3,44.0,XGBoost,44.0,47.3,-3.3,-0.2
FINANCE,22,3-class Buy/Hold/Sell,12,2023-01,119,36.1,31.1,Logistic,36.1,52.9,-16.8,-42.7
FINANCE,22,3-class Buy/Hold/Sell,13,2023-07,123,30.1,27.6,Logistic,30.1,42.3,-12.2,3.8
FINANCE,22,3-class Buy/Hold/Sell,14,2024-01,115,27.8,22.6,Logistic,27.8,47.8,-20.0,-53.4
FINANCE,22,3-class Buy/Hold/Sell,15,2024-07,125,24.8,42.4,XGBoost,42.4,77.6,-35.2,-41.8
FINANCE,22,3-class Buy/Hold/Sell,16,2025-01,114,36.8,37.7,XGBoost,37.7,60.5,-22.8,-26.5
FINANCE,22,3-class Buy/Hold/Sell,17,2025-07,124,41.1,42.7,XGBoost,42.7,47.6,-4.8,-17.5
SECTOR,1,binary up/down,0,2017-01,62,71.0,61.3,Logistic,71.0,58.1,12.9,8.6
SECTOR,1,binary up/down,1,2017-07,52,55.8,48.1,Logistic,55.8,53.8,1.9,9.4
SECTOR,1,binary up/down,2,2018-01,58,55.2,48.3,Logistic,55.2,70.7,-15.5,17.3
SECTOR,1,binary up/down,3,2018-07,41,58.5,61.0,XGBoost,61.0,48.8,12.2,12.7
SECTOR,1,binary up/down,4,2019-01,43,62.8,51.2,Logistic,62.8,55.8,7.0,26.2
SECTOR,1,binary up/down,5,2019-07,66,56.1,47.0,Logistic,56.1,43.9,12.1,28.7
SECTOR,1,binary up/down,6,2020-01,49,57.1,42.9,Logistic,57.1,53.1,4.1,16.7
SECTOR,1,binary up/down,7,2020-07,122,54.1,50.0,Logistic,54.1,53.3,0.8,0.1
SECTOR,1,binary up/down,8,2021-01,106,57.5,58.5,XGBoost,58.5,57.5,0.9,3.0
SECTOR,1,binary up/down,9,2021-07,124,51.6,53.2,XGBoost,53.2,54.8,-1.6,-5.4
SECTOR,1,binary up/down,10,2022-01,91,52.7,58.2,XGBoost,58.2,54.9,3.3,17.6
SECTOR,1,binary up/down,11,2022-07,91,56.0,58.2,XGBoost,58.2,58.2,0.0,-4.6
SECTOR,1,binary up/down,12,2023-01,119,57.1,58.0,XGBoost,58.0,62.2,-4.2,-0.8
SECTOR,1,binary up/down,13,2023-07,123,52.0,52.8,XGBoost,52.8,47.2,5.7,0.0
SECTOR,1,binary up/down,14,2024-01,115,47.8,50.4,XGBoost,50.4,51.3,-0.9,-9.6
SECTOR,1,binary up/down,15,2024-07,125,61.6,63.2,XGBoost,63.2,72.0,-8.8,1.7
SECTOR,1,binary up/down,16,2025-01,114,49.1,55.3,XGBoost,55.3,57.0,-1.8,3.7
SECTOR,1,binary up/down,17,2025-07,124,57.3,59.7,XGBoost,59.7,54.0,5.6,11.9
SECTOR,1,binary up/down,18,2026-01,118,53.4,54.2,XGBoost,54.2,48.3,5.9,2.6
SECTOR,1,3-class Buy/Hold/Sell,0,2017-01,62,50.0,30.6,Logistic,50.0,32.3,17.7,60.5
SECTOR,1,3-class Buy/Hold/Sell,1,2017-07,52,40.4,26.9,Logistic,40.4,42.3,-1.9,35.8
SECTOR,1,3-class Buy/Hold/Sell,2,2018-01,58,46.6,36.2,Logistic,46.6,50.0,-3.4,17.7
SECTOR,1,3-class Buy/Hold/Sell,3,2018-07,41,39.0,41.5,XGBoost,41.5,26.8,14.6,55.7
SECTOR,1,3-class Buy/Hold/Sell,4,2019-01,43,39.5,30.2,Logistic,39.5,39.5,0.0,53.9
SECTOR,1,3-class Buy/Hold/Sell,5,2019-07,66,39.4,40.9,XGBoost,40.9,36.4,4.5,39.6
SECTOR,1,3-class Buy/Hold/Sell,6,2020-01,49,42.9,34.7,Logistic,42.9,46.9,-4.1,67.2
SECTOR,1,3-class Buy/Hold/Sell,7,2020-07,122,35.2,36.1,XGBoost,36.1,36.9,-0.8,27.9
SECTOR,1,3-class Buy/Hold/Sell,8,2021-01,106,49.1,50.9,XGBoost,50.9,43.4,7.5,63.3
SECTOR,1,3-class Buy/Hold/Sell,9,2021-07,124,44.4,46.8,XGBoost,46.8,33.9,12.9,52.1
SECTOR,1,3-class Buy/Hold/Sell,10,2022-01,91,45.1,49.5,XGBoost,49.5,40.7,8.8,61.4
SECTOR,1,3-class Buy/Hold/Sell,11,2022-07,91,44.0,40.7,Logistic,44.0,46.2,-2.2,48.3
SECTOR,1,3-class Buy/Hold/Sell,12,2023-01,119,41.2,46.2,XGBoost,46.2,39.5,6.7,52.7
SECTOR,1,3-class Buy/Hold/Sell,13,2023-07,123,37.4,30.9,Logistic,37.4,39.0,-1.6,25.2
SECTOR,1,3-class Buy/Hold/Sell,14,2024-01,115,43.5,45.2,XGBoost,45.2,40.9,4.3,27.1
SECTOR,1,3-class Buy/Hold/Sell,15,2024-07,125,40.8,45.6,XGBoost,45.6,49.6,-4.0,51.1
SECTOR,1,3-class Buy/Hold/Sell,16,2025-01,114,34.2,43.9,XGBoost,43.9,38.6,5.3,47.2
SECTOR,1,3-class Buy/Hold/Sell,17,2025-07,124,62.1,54.8,Logistic,62.1,56.5,5.6,21.5
SECTOR,1,3-class Buy/Hold/Sell,18,2026-01,118,55.1,48.3,Logistic,55.1,54.2,0.8,22.2
SECTOR,5,binary up/down,0,2017-01,62,56.5,80.6,XGBoost,80.6,74.2,6.5,3.1
SECTOR,5,binary up/down,1,2017-07,52,61.5,61.5,Logistic,61.5,61.5,0.0,6.0
SECTOR,5,binary up/down,2,2018-01,58,53.4,41.4,Logistic,53.4,72.4,-19.0,23.4
SECTOR,5,binary up/down,3,2018-07,41,36.6,46.3,XGBoost,46.3,46.3,0.0,0.7
SECTOR,5,binary up/down,4,2019-01,43,53.5,58.1,XGBoost,58.1,58.1,0.0,29.7
SECTOR,5,binary up/down,5,2019-07,66,66.7,57.6,Logistic,66.7,63.6,3.0,-3.7
SECTOR,5,binary up/down,6,2020-01,49,67.3,51.0,Logistic,67.3,53.1,14.3,41.8
SECTOR,5,binary up/down,7,2020-07,122,41.8,52.5,XGBoost,52.5,58.2,-5.7,-5.1
SECTOR,5,binary up/down,8,2021-01,106,67.0,50.9,Logistic,67.0,65.1,1.9,14.3
SECTOR,5,binary up/down,9,2021-07,124,50.8,50.8,Logistic,50.8,67.7,-16.9,-20.3
SECTOR,5,binary up/down,10,2022-01,91,57.1,60.4,XGBoost,60.4,60.4,0.0,35.1
SECTOR,5,binary up/down,11,2022-07,91,50.5,54.9,XGBoost,54.9,51.6,3.3,-7.5
SECTOR,5,binary up/down,12,2023-01,119,52.1,48.7,Logistic,52.1,57.1,-5.0,-14.9
SECTOR,5,binary up/down,13,2023-07,123,44.7,44.7,Logistic,44.7,53.7,-8.9,-10.7
SECTOR,5,binary up/down,14,2024-01,115,49.6,56.5,XGBoost,56.5,53.0,3.5,-5.6
SECTOR,5,binary up/down,15,2024-07,125,61.6,62.4,XGBoost,62.4,62.4,0.0,-0.5
SECTOR,5,binary up/down,16,2025-01,114,44.7,42.1,Logistic,44.7,56.1,-11.4,-15.7
SECTOR,5,binary up/down,17,2025-07,124,63.7,62.1,Logistic,63.7,57.3,6.5,8.1
SECTOR,5,binary up/down,18,2026-01,118,44.1,46.6,XGBoost,46.6,41.5,5.1,-3.7
SECTOR,5,3-class Buy/Hold/Sell,0,2017-01,62,38.7,66.1,XGBoost,66.1,62.9,3.2,69.6
SECTOR,5,3-class Buy/Hold/Sell,1,2017-07,52,48.1,28.8,Logistic,48.1,46.2,1.9,49.6
SECTOR,5,3-class Buy/Hold/Sell,2,2018-01,58,39.7,31.0,Logistic,39.7,37.9,1.7,32.7
SECTOR,5,3-class Buy/Hold/Sell,3,2018-07,41,29.3,34.1,XGBoost,34.1,29.3,4.9,18.9
SECTOR,5,3-class Buy/Hold/Sell,4,2019-01,43,44.2,46.5,XGBoost,46.5,39.5,7.0,58.1
SECTOR,5,3-class Buy/Hold/Sell,5,2019-07,66,42.4,37.9,Logistic,42.4,42.4,0.0,54.6
SECTOR,5,3-class Buy/Hold/Sell,6,2020-01,49,49.0,38.8,Logistic,49.0,46.9,2.0,66.3
SECTOR,5,3-class Buy/Hold/Sell,7,2020-07,122,30.3,36.9,XGBoost,36.9,46.7,-9.8,-18.0
SECTOR,5,3-class Buy/Hold/Sell,8,2021-01,106,47.2,30.2,Logistic,47.2,53.8,-6.6,-11.1
SECTOR,5,3-class Buy/Hold/Sell,9,2021-07,124,37.9,37.1,Logistic,37.9,53.2,-15.3,-24.8
SECTOR,5,3-class Buy/Hold/Sell,10,2022-01,91,56.0,56.0,Logistic,56.0,50.5,5.5,39.8
SECTOR,5,3-class Buy/Hold/Sell,11,2022-07,91,48.4,36.3,Logistic,48.4,40.7,7.7,-14.0
SECTOR,5,3-class Buy/Hold/Sell,12,2023-01,119,34.5,35.3,XGBoost,35.3,41.2,-5.9,-21.9
SECTOR,5,3-class Buy/Hold/Sell,13,2023-07,123,38.2,30.1,Logistic,38.2,36.6,1.6,-16.3
SECTOR,5,3-class Buy/Hold/Sell,14,2024-01,115,29.6,33.0,XGBoost,33.0,38.3,-5.2,-28.5
SECTOR,5,3-class Buy/Hold/Sell,15,2024-07,125,41.6,43.2,XGBoost,43.2,51.2,-8.0,-25.1
SECTOR,5,3-class Buy/Hold/Sell,16,2025-01,114,25.4,36.0,XGBoost,36.0,44.7,-8.8,-19.6
SECTOR,5,3-class Buy/Hold/Sell,17,2025-07,124,35.5,39.5,XGBoost,39.5,41.9,-2.4,-17.2
SECTOR,5,3-class Buy/Hold/Sell,18,2026-01,118,42.4,38.1,Logistic,42.4,31.4,11.0,-9.6
SECTOR,10,binary up/down,0,2017-01,62,41.9,66.1,XGBoost,66.1,75.8,-9.7,-17.3
SECTOR,10,binary up/down,1,2017-07,52,59.6,51.9,Logistic,59.6,61.5,-1.9,-2.7
SECTOR,10,binary up/down,2,2018-01,58,50.0,53.4,XGBoost,53.4,41.4,12.1,32.9
SECTOR,10,binary up/down,3,2018-07,41,39.0,51.2,XGBoost,51.2,51.2,0.0,22.2
SECTOR,10,binary up/down,4,2019-01,43,65.1,51.2,Logistic,65.1,58.1,7.0,35.7
SECTOR,10,binary up/down,5,2019-07,66,71.2,65.2,Logistic,71.2,75.8,-4.5,-3.0
SECTOR,10,binary up/down,6,2020-01,49,67.3,67.3,Logistic,67.3,44.9,22.4,51.0
SECTOR,10,binary up/down,7,2020-07,122,36.1,44.3,XGBoost,44.3,60.7,-16.4,-46.4
SECTOR,10,binary up/down,8,2021-01,106,66.0,54.7,Logistic,66.0,51.9,14.2,-3.7
SECTOR,10,binary up/down,9,2021-07,124,46.0,54.8,XGBoost,54.8,70.2,-15.3,-25.0
SECTOR,10,binary up/down,10,2022-01,91,51.6,42.9,Logistic,51.6,60.4,-8.8,31.7
SECTOR,10,binary up/down,11,2022-07,91,54.9,46.2,Logistic,54.9,50.5,4.4,-4.9
SECTOR,10,binary up/down,12,2023-01,119,47.1,46.2,Logistic,47.1,62.2,-15.1,-38.1
SECTOR,10,binary up/down,13,2023-07,123,38.2,40.7,XGBoost,40.7,45.5,-4.9,-22.0
SECTOR,10,binary up/down,14,2024-01,115,45.2,57.4,XGBoost,57.4,56.5,0.9,-8.1
SECTOR,10,binary up/down,15,2024-07,125,57.6,48.8,Logistic,57.6,74.4,-16.8,-15.0
SECTOR,10,binary up/down,16,2025-01,114,40.4,46.5,XGBoost,46.5,57.9,-11.4,-15.8
SECTOR,10,binary up/down,17,2025-07,124,66.9,62.1,Logistic,66.9,69.4,-2.4,-5.7
SECTOR,10,binary up/down,18,2026-01,118,49.2,38.1,Logistic,49.2,50.8,-1.7,6.2
SECTOR,10,3-class Buy/Hold/Sell,0,2017-01,62,43.5,45.2,XGBoost,45.2,67.7,-22.6,-29.0
SECTOR,10,3-class Buy/Hold/Sell,1,2017-07,52,26.9,30.8,XGBoost,30.8,48.1,-17.3,-30.3
SECTOR,10,3-class Buy/Hold/Sell,2,2018-01,58,34.5,31.0,Logistic,34.5,27.6,6.9,25.3
SECTOR,10,3-class Buy/Hold/Sell,3,2018-07,41,22.0,34.1,XGBoost,34.1,36.6,-2.4,12.7
SECTOR,10,3-class Buy/Hold/Sell,4,2019-01,43,55.8,44.2,Logistic,55.8,41.9,14.0,33.7
SECTOR,10,3-class Buy/Hold/Sell,5,2019-07,66,50.0,36.4,Logistic,50.0,60.6,-10.6,-21.9
SECTOR,10,3-class Buy/Hold/Sell,6,2020-01,49,65.3,49.0,Logistic,65.3,40.8,24.5,49.8
SECTOR,10,3-class Buy/Hold/Sell,7,2020-07,122,24.6,32.8,XGBoost,32.8,51.6,-18.9,-50.8
SECTOR,10,3-class Buy/Hold/Sell,8,2021-01,106,52.8,38.7,Logistic,52.8,47.2,5.7,-1.6
SECTOR,10,3-class Buy/Hold/Sell,9,2021-07,124,35.5,40.3,XGBoost,40.3,62.9,-22.6,-30.0
SECTOR,10,3-class Buy/Hold/Sell,10,2022-01,91,46.2,34.1,Logistic,46.2,50.5,-4.4,34.0
SECTOR,10,3-class Buy/Hold/Sell,11,2022-07,91,49.5,44.0,Logistic,49.5,47.3,2.2,-6.8
SECTOR,10,3-class Buy/Hold/Sell,12,2023-01,119,37.0,37.0,Logistic,37.0,53.8,-16.8,-41.0
SECTOR,10,3-class Buy/Hold/Sell,13,2023-07,123,29.3,28.5,Logistic,29.3,31.7,-2.4,-28.1
SECTOR,10,3-class Buy/Hold/Sell,14,2024-01,115,21.7,35.7,XGBoost,35.7,45.2,-9.6,-29.8
SECTOR,10,3-class Buy/Hold/Sell,15,2024-07,125,32.0,36.8,XGBoost,36.8,57.6,-20.8,-35.8
SECTOR,10,3-class Buy/Hold/Sell,16,2025-01,114,23.7,27.2,XGBoost,27.2,48.2,-21.1,-36.4
SECTOR,10,3-class Buy/Hold/Sell,17,2025-07,124,40.3,39.5,Logistic,40.3,50.0,-9.7,-30.8
SECTOR,10,3-class Buy/Hold/Sell,18,2026-01,118,32.2,39.0,XGBoost,39.0,36.4,2.5,3.6
SECTOR,22,binary up/down,0,2017-01,62,37.1,35.5,Logistic,37.1,83.9,-46.8,-66.9
SECTOR,22,binary up/down,1,2017-07,52,53.8,53.8,Logistic,53.8,59.6,-5.8,-15.7
SECTOR,22,binary up/down,2,2018-01,58,43.1,34.5,Logistic,43.1,51.7,-8.6,38.2
SECTOR,22,binary up/down,3,2018-07,41,56.1,61.0,XGBoost,61.0,65.9,-4.9,65.7
SECTOR,22,binary up/down,4,2019-01,43,60.5,65.1,XGBoost,65.1,46.5,18.6,19.8
SECTOR,22,binary up/down,5,2019-07,66,53.0,51.5,Logistic,53.0,66.7,-13.6,-23.8
SECTOR,22,binary up/down,6,2020-01,49,69.4,22.4,Logistic,69.4,40.8,28.6,58.6
SECTOR,22,binary up/down,7,2020-07,122,39.3,54.1,XGBoost,54.1,74.6,-20.5,-33.8
SECTOR,22,binary up/down,8,2021-01,106,59.4,47.2,Logistic,59.4,56.6,2.8,-20.4
SECTOR,22,binary up/down,9,2021-07,124,41.1,61.3,XGBoost,61.3,84.7,-23.4,-38.4
SECTOR,22,binary up/down,10,2022-01,91,44.0,35.2,Logistic,44.0,67.0,-23.1,23.5
SECTOR,22,binary up/down,11,2022-07,91,59.3,58.2,Logistic,59.3,61.5,-2.2,4.6
SECTOR,22,binary up/down,12,2023-01,119,44.5,50.4,XGBoost,50.4,67.2,-16.8,-32.5
SECTOR,22,binary up/down,13,2023-07,123,43.9,30.9,Logistic,43.9,48.8,-4.9,-8.1
SECTOR,22,binary up/down,14,2024-01,115,47.8,54.8,XGBoost,54.8,59.1,-4.3,-17.1
SECTOR,22,binary up/down,15,2024-07,125,49.6,58.4,XGBoost,58.4,82.4,-24.0,-20.3
SECTOR,22,binary up/down,16,2025-01,114,51.8,42.1,Logistic,51.8,62.3,-10.5,-14.5
SECTOR,22,binary up/down,17,2025-07,124,66.1,58.9,Logistic,66.1,71.8,-5.6,-11.7
SECTOR,22,3-class Buy/Hold/Sell,0,2017-01,62,35.5,24.2,Logistic,35.5,71.0,-35.5,-67.0
SECTOR,22,3-class Buy/Hold/Sell,1,2017-07,52,36.5,28.8,Logistic,36.5,38.5,-1.9,-37.6
SECTOR,22,3-class Buy/Hold/Sell,2,2018-01,58,32.8,29.3,Logistic,32.8,31.0,1.7,45.9
SECTOR,22,3-class Buy/Hold/Sell,3,2018-07,41,34.1,22.0,Logistic,34.1,48.8,-14.6,33.6
SECTOR,22,3-class Buy/Hold/Sell,4,2019-01,43,37.2,51.2,XGBoost,51.2,41.9,9.3,2.8
SECTOR,22,3-class Buy/Hold/Sell,5,2019-07,66,33.3,31.8,Logistic,33.3,56.1,-22.7,-36.8
SECTOR,22,3-class Buy/Hold/Sell,6,2020-01,49,53.1,18.4,Logistic,53.1,28.6,24.5,40.1
SECTOR,22,3-class Buy/Hold/Sell,7,2020-07,122,28.7,36.1,XGBoost,36.1,59.8,-23.8,-60.6
SECTOR,22,3-class Buy/Hold/Sell,8,2021-01,106,46.2,33.0,Logistic,46.2,38.7,7.5,-23.3
SECTOR,22,3-class Buy/Hold/Sell,9,2021-07,124,23.4,35.5,XGBoost,35.5,74.2,-38.7,-61.2
SECTOR,22,3-class Buy/Hold/Sell,10,2022-01,91,25.3,40.7,XGBoost,40.7,63.7,-23.1,32.5
SECTOR,22,3-class Buy/Hold/Sell,11,2022-07,91,47.3,29.7,Logistic,47.3,57.1,-9.9,-7.0
SECTOR,22,3-class Buy/Hold/Sell,12,2023-01,119,43.7,37.0,Logistic,43.7,64.7,-21.0,-43.1
SECTOR,22,3-class Buy/Hold/Sell,13,2023-07,123,29.3,18.7,Logistic,29.3,39.0,-9.8,-12.0
SECTOR,22,3-class Buy/Hold/Sell,14,2024-01,115,34.8,40.0,XGBoost,40.0,47.8,-7.8,-36.9
SECTOR,22,3-class Buy/Hold/Sell,15,2024-07,125,40.8,36.0,Logistic,40.8,79.2,-38.4,-39.3
SECTOR,22,3-class Buy/Hold/Sell,16,2025-01,114,39.5,26.3,Logistic,39.5,55.3,-15.8,-28.7
SECTOR,22,3-class Buy/Hold/Sell,17,2025-07,124,40.3,41.9,XGBoost,41.9,55.6,-13.7,-26.1
