group,horizon_days,date,prob_up,pred,actual,fwd_ret
BANKS,1,2017-01-02,0.4512421004064089,0,0,-0.007691114630292928
BANKS,1,2017-01-04,0.48459898997073514,0,0,-0.0023142024049572774
BANKS,1,2017-01-10,0.5449279274052006,1,1,0.00826587551560598
BANKS,1,2017-01-11,0.5592556304045925,1,1,0.0005100799369628373
BANKS,1,2017-01-16,0.5519958558780084,1,1,0.008496643926598546
BANKS,1,2017-01-19,0.36670671804787824,0,0,-0.0017354951733722368
BANKS,1,2017-01-23,0.44974757260843184,0,0,-0.007766875835620746
BANKS,1,2017-01-24,0.4405536988804819,0,0,-0.002839055277367053
BANKS,1,2017-01-25,0.4821297792666438,0,1,0.003484365619865537
BANKS,1,2017-01-27,0.549483652423544,1,1,0.00916165680509895
BANKS,1,2017-01-30,0.5091894165601104,1,0,-0.0011154309960035302
BANKS,1,2017-02-01,0.46272179471275754,0,1,0.00727219811028057
BANKS,1,2017-02-03,0.4059830859219237,0,0,-0.006682174542014696
BANKS,1,2017-02-06,0.3733957060309834,0,0,-0.005352952603295269
BANKS,1,2017-02-07,0.5677062728819268,1,1,0.00010787015708135783
BANKS,1,2017-02-08,0.5452540991739453,1,0,-0.0008633425994566402
BANKS,1,2017-02-09,0.5387310035244124,1,1,0.004761906044985498
BANKS,1,2017-02-13,0.584011729136602,1,1,0.010081513190409952
BANKS,1,2017-02-14,0.49395427390695607,0,1,0.009074036371492733
BANKS,1,2017-02-15,0.5121572444975909,1,1,0.00375595478448032
BANKS,1,2017-02-16,0.48610457589359696,0,1,0.0020613852105570984
BANKS,1,2017-02-21,0.44504269293865056,0,1,0.009092751934526522
BANKS,1,2017-02-23,0.5817347046164754,1,0,-0.0052300016651603
BANKS,1,2017-02-27,0.5488278344769708,1,1,0.0014739009206894416
BANKS,1,2017-02-28,0.5700073923464652,1,0,-0.01617559302689542
BANKS,1,2017-03-02,0.5891618254494446,1,0,0.0
BANKS,1,2017-03-03,0.4882480666016187,0,0,0.0
BANKS,1,2017-03-06,0.5794997282476032,1,1,0.0033159538175018266
BANKS,1,2017-03-07,0.5162874354631218,1,0,-0.0044208429400540705
BANKS,1,2017-03-08,0.5025389259413163,1,0,-0.009022745380518282
BANKS,1,2017-03-09,0.5382805053944988,1,0,-0.010701445823909084
BANKS,1,2017-03-13,0.518769152838432,1,0,-0.009850323955168494
BANKS,1,2017-03-15,0.4376004701551222,0,0,-0.001075979021994189
BANKS,1,2017-03-17,0.4919596602367157,0,1,0.0038167960096806564
BANKS,1,2017-03-20,0.40422639583245895,0,0,-0.003919084330614497
BANKS,1,2017-03-21,0.38578715191907614,0,0,-0.0066587691585912046
BANKS,1,2017-03-22,0.2727439091912023,0,1,0.002442690822381577
BANKS,1,2017-03-23,0.3261958066704179,0,0,-0.013236669221536546
BANKS,1,2017-03-27,0.41973893952028385,0,0,-0.0013972565394815284
BANKS,1,2017-03-28,0.4483086269117289,0,1,0.003072691768956748
BANKS,1,2017-03-30,0.536914643912655,1,1,0.0002647026568287636
BANKS,1,2017-03-31,0.4537061387424199,0,0,-0.010980894497677363
BANKS,1,2017-04-03,0.4724631582622562,0,1,0.009755746052477532
BANKS,1,2017-04-04,0.5603617608617553,1,1,0.0022340681181445277
BANKS,1,2017-04-05,0.5626422917930988,1,1,0.0038422839486216276
BANKS,1,2017-04-06,0.5867607757425727,1,0,-0.0014873852393276765
BANKS,1,2017-04-07,0.5983067473787175,1,1,0.003937392779435278
BANKS,1,2017-04-11,0.5438837913744597,1,1,0.009054531788057263
BANKS,1,2017-04-12,0.6722459247948864,1,0,-0.004541019419887715
BANKS,1,2017-04-17,0.39750296797680656,0,1,0.0014108115638031826
BANKS,1,2017-04-18,0.5847727751585098,1,1,0.023736755605245463
BANKS,1,2017-04-19,0.6055913666085165,1,1,0.004722930451910079
BANKS,1,2017-04-20,0.6500302944303851,1,1,0.007693834194457461
BANKS,1,2017-04-21,0.5893027997626936,1,0,-0.008904397819921916
BANKS,1,2017-04-24,0.5374923067650764,1,0,-0.005573966890509818
BANKS,1,2017-04-25,0.5955887511682405,1,1,0.00643332574331934
BANKS,1,2017-04-26,0.6528204969380382,1,1,0.011561859225480697
BANKS,1,2017-04-27,0.6575286117478331,1,1,0.0007699514360974824
BANKS,1,2017-04-28,0.6469085731670878,1,1,0.0004920983058334105
BANKS,1,2017-05-02,0.5552564788362521,1,0,-0.004354530035871718
BANKS,1,2017-05-03,0.4935239206846406,0,1,0.006351655758821906
BANKS,1,2017-05-04,0.6199432931578218,1,1,0.0071771013721793064
BANKS,1,2017-05-05,0.6061609602145961,1,1,0.01438341585466718
BANKS,1,2017-05-08,0.569907645835883,1,1,0.003916598823896278
BANKS,1,2017-05-09,0.5124769108721483,1,1,0.006149630081579316
BANKS,1,2017-05-12,0.4952061781527355,0,0,-0.003095631171474156
BANKS,1,2017-05-15,0.5071200900761903,1,1,0.006168137850293798
BANKS,1,2017-05-16,0.583039202017377,1,0,-0.0010456505216859258
BANKS,1,2017-05-17,0.6331044664630213,1,0,-0.0036921880074667346
BANKS,1,2017-05-18,0.5646422214100737,1,0,-0.002213262002044747
BANKS,1,2017-05-19,0.6437549598678642,1,0,-0.016420758226750376
BANKS,1,2017-05-22,0.6131601990203032,1,0,-0.003680389318499677
BANKS,1,2017-05-23,0.49499997586268357,0,1,0.006028607444612311
BANKS,1,2017-05-25,0.5604647799605965,1,0,-0.0036434019297776343
BANKS,1,2017-05-26,0.4961785622738672,0,0,-0.0020023775574773417
BANKS,1,2017-05-29,0.46033444990588435,0,0,-0.0026092813600849807
BANKS,1,2017-05-30,0.42983984353148663,0,1,0.0015276430554005405
BANKS,1,2017-05-31,0.4818554383936425,0,1,0.008060479181655422
BANKS,1,2017-06-01,0.4719186744834398,0,1,0.0008415624676318956
BANKS,1,2017-06-05,0.39643728846877985,0,0,-6.34538547783503e-05
BANKS,1,2017-06-06,0.44475400706270624,0,0,-0.0031771249076751884
BANKS,1,2017-06-07,0.3940534614544976,0,1,0.009445151629244197
BANKS,1,2017-06-09,0.41202264593882526,0,0,-0.0028131667802367977
BANKS,1,2017-06-13,0.4089065883496955,0,1,0.016175366466652186
BANKS,1,2017-06-15,0.525839648535947,1,0,-0.0014490108482759778
BANKS,1,2017-06-16,0.5853252621104029,1,0,-0.0040932404554719914
BANKS,1,2017-06-19,0.49524020915073835,0,1,3.855585829648511e-05
BANKS,1,2017-06-20,0.5954601251242718,1,1,0.0034678647981896127
BANKS,1,2017-06-21,0.6253618315668292,1,0,-0.003676971785993355
BANKS,1,2017-06-22,0.5508135360790087,1,0,-0.0010386713399587189
BANKS,1,2017-06-23,0.5770209761694314,1,0,-0.010682884795384706
BANKS,1,2017-06-27,0.5671314090808027,1,0,-0.0013731325048630394
BANKS,1,2017-06-28,0.5253302502525414,1,0,-0.001981278224191141
BANKS,1,2017-06-29,0.5231676367280019,1,1,0.008195812001167813
BANKS,1,2017-06-30,0.5621372282273601,1,0,-0.003651332392203943
BANKS,1,2017-07-03,0.4640557535061813,0,1,0.0007845776108399427
BANKS,1,2017-07-04,0.4656721320198625,0,0,-0.0063960524839914434
BANKS,1,2017-07-06,0.45475352820570586,0,0,-0.0027773750146974363
BANKS,1,2017-07-07,0.4935083127067459,0,0,-0.0052689129261968
BANKS,1,2017-07-10,0.49257144262437275,0,1,0.008656909372614985
BANKS,1,2017-07-11,0.43595768217568104,0,0,-0.00039993749936595435
BANKS,1,2017-07-12,0.4239298021264261,0,0,-0.002032473677762714
BANKS,1,2017-07-13,0.4069337647274715,0,0,-0.002897969213080165
BANKS,1,2017-07-14,0.48876154742365097,0,0,-0.005925475705183647
BANKS,1,2017-07-17,0.4176642774105684,0,0,-0.003934120266443686
BANKS,1,2017-07-18,0.47274171857935726,0,0,-0.006445359591402355
BANKS,1,2017-07-19,0.4065450061640709,0,0,-0.00048484556957584246
BANKS,1,2017-07-20,0.4327932086678756,0,0,-0.004731853983967249
BANKS,1,2017-07-21,0.37413838789691745,0,0,-0.00034646150682371424
BANKS,1,2017-07-24,0.37216108012147575,0,1,0.0030622942783398166
BANKS,1,2017-07-25,0.3616613582146937,0,1,0.0002656367023081696
BANKS,1,2017-07-26,0.4056596990626272,0,1,0.0035149242481136156
BANKS,1,2017-07-27,0.4125013954118898,0,0,-0.00565906923789683
BANKS,1,2017-07-28,0.44804976282457476,0,0,-0.004773793820255889
BANKS,1,2017-07-31,0.3626042651688544,0,0,-0.0028190145075714934
BANKS,1,2017-08-01,0.35052237998781743,0,1,0.0032555935974263317
BANKS,1,2017-08-02,0.3567522233325239,0,1,0.00702538727260249
BANKS,1,2017-08-03,0.36940498667723387,0,1,0.005884548795914046
BANKS,1,2017-08-04,0.3927629019532477,0,1,0.0003264807453167151
BANKS,1,2017-08-08,0.34250673048178687,0,0,-0.006677225141754284
BANKS,1,2017-08-09,0.45354683943855156,0,1,0.014247113145881452
BANKS,1,2017-08-10,0.5128172817228289,1,0,-0.006868435577887744
BANKS,1,2017-08-11,0.504645505906512,1,1,0.002718972721492463
BANKS,1,2017-08-14,0.5079081795054212,1,0,-0.0038647062897767537
BANKS,1,2017-08-15,0.4249552743081836,0,1,0.010726892195362492
BANKS,1,2017-08-16,0.43110902360491776,0,0,-0.004725661394997416
BANKS,1,2017-08-17,0.4735779751299493,0,1,0.005198316183691709
BANKS,1,2017-08-18,0.5616720513029111,1,0,-0.0020813624752810123
BANKS,1,2017-08-21,0.5051509970574255,1,0,-0.0026619613748095627
BANKS,1,2017-08-22,0.509935265171536,1,1,0.000632713005879415
