horizon,horizon_days,stocks_positive,median_edge_pp,sign_test_p
1 day,1,6/7,2.5,0.062
1 week,5,3/7,-0.5,0.773
2 weeks,10,1/7,-6.0,0.992
3 weeks,15,0/7,-6.8,1.0
1 month,22,0/7,-4.1,1.0
2 months,44,1/7,-6.2,0.992
3 months,66,2/7,-6.4,0.938
6 months,132,2/7,-34.7,0.938
1 year,252,1/7,-38.9,0.992
