spec,company,role,lag,coef,se,t,p,r2,n
C_funding_structure,COMB,G1(Deposit-funded),1,-0.6362,0.718,-0.8861,0.3756,0.007,169
C_funding_structure,COMB,G1(Deposit-funded),2,-0.3326,0.4789,-0.6946,0.4873,0.0019,168
C_funding_structure,COMB,G1(Deposit-funded),3,-1.2702,0.4985,-2.5483,0.0108,0.0279,167
C_funding_structure,SAMP,G1(Deposit-funded),0,-2.3297,0.8953,-2.6021,0.0093,0.0686,169
C_funding_structure,SAMP,G1(Deposit-funded),1,-1.6383,0.5582,-2.9351,0.0033,0.034,169
C_funding_structure,SAMP,G1(Deposit-funded),2,-0.965,0.51,-1.8921,0.0585,0.0118,168
C_funding_structure,SAMP,G1(Deposit-funded),3,-1.3035,0.706,-1.8464,0.0648,0.0215,167
C_funding_structure,LFIN,G1(Deposit-funded),0,-0.8663,0.7996,-1.0835,0.2786,0.0048,169
C_funding_structure,LFIN,G1(Deposit-funded),1,-0.6294,0.5232,-1.2029,0.229,0.0026,169
C_funding_structure,LFIN,G1(Deposit-funded),2,-0.214,0.5181,-0.4131,0.6795,0.0003,168
C_funding_structure,LFIN,G1(Deposit-funded),3,-1.246,0.776,-1.6056,0.1084,0.0102,167
C_funding_structure,LOFC,G2(Borrowing-funded),0,4.0719,1.7373,2.3438,0.0191,0.0243,169
C_funding_structure,LOFC,G2(Borrowing-funded),1,2.7602,2.3236,1.1879,0.2349,0.0112,169
C_funding_structure,LOFC,G2(Borrowing-funded),2,1.0524,2.0268,0.5192,0.6036,0.0016,168
C_funding_structure,LOFC,G2(Borrowing-funded),3,0.4432,0.9711,0.4564,0.6481,0.0003,167
C_funding_structure,CFIN,G2(Borrowing-funded),0,-1.068,0.7988,-1.3371,0.1812,0.0162,169
C_funding_structure,CFIN,G2(Borrowing-funded),1,-0.4738,0.8758,-0.541,0.5885,0.0032,169
C_funding_structure,CFIN,G2(Borrowing-funded),2,-0.23,0.4605,-0.4995,0.6174,0.0008,168
C_funding_structure,CFIN,G2(Borrowing-funded),3,-0.8339,0.5343,-1.5607,0.1186,0.01,167
C_funding_structure,JKH,Control,0,-0.0949,0.5551,-0.171,0.8642,0.0001,169
C_funding_structure,JKH,Control,1,0.0839,0.6416,0.1308,0.8959,0.0001,169
C_funding_structure,JKH,Control,2,-0.4913,0.443,-1.1092,0.2673,0.0037,168
C_funding_structure,JKH,Control,3,-1.1011,0.414,-2.6597,0.0078,0.0186,167
C_funding_structure,DIAL,Control,0,-0.1362,0.633,-0.2152,0.8296,0.0002,169
C_funding_structure,DIAL,Control,1,-0.1533,0.6048,-0.2535,0.7999,0.0002,169
C_funding_structure,DIAL,Control,2,-0.5348,0.6382,-0.8379,0.4021,0.0024,168
C_funding_structure,DIAL,Control,3,-1.1317,1.0787,-1.0491,0.2941,0.0108,167
C_funding_structure,LOLC,Control,0,3.8206,1.16,3.2937,0.001,0.0141,169
C_funding_structure,LOLC,Control,1,0.6265,1.7984,0.3484,0.7276,0.0004,169
C_funding_structure,LOLC,Control,2,-0.4803,1.6301,-0.2946,0.7683,0.0002,168
C_funding_structure,LOLC,Control,3,2.064,0.9019,2.2884,0.0221,0.0041,167
D_pure_nbfi,HNB,G1(Banks),0,-3.1845,1.0389,-3.0653,0.0022,0.1159,169
D_pure_nbfi,HNB,G1(Banks),1,-1.2928,1.361,-0.9499,0.3422,0.0191,169
D_pure_nbfi,HNB,G1(Banks),2,-0.8439,1.0413,-0.8104,0.4177,0.0081,168
D_pure_nbfi,HNB,G1(Banks),3,-1.8616,0.5357,-3.4751,0.0005,0.0396,167
D_pure_nbfi,COMB,G1(Banks),0,-1.3998,0.7313,-1.9142,0.0556,0.0337,169
D_pure_nbfi,COMB,G1(Banks),1,-0.6362,0.718,-0.8861,0.3756,0.007,169
D_pure_nbfi,COMB,G1(Banks),2,-0.3326,0.4789,-0.6946,0.4873,0.0019,168
D_pure_nbfi,COMB,G1(Banks),3,-1.2702,0.4985,-2.5483,0.0108,0.0279,167
D_pure_nbfi,SAMP,G1(Banks),0,-2.3297,0.8953,-2.6021,0.0093,0.0686,169
D_pure_nbfi,SAMP,G1(Banks),1,-1.6383,0.5582,-2.9351,0.0033,0.034,169
D_pure_nbfi,SAMP,G1(Banks),2,-0.965,0.51,-1.8921,0.0585,0.0118,168
D_pure_nbfi,SAMP,G1(Banks),3,-1.3035,0.706,-1.8464,0.0648,0.0215,167
D_pure_nbfi,LOFC,G2(Finance(NBFI)),0,4.0719,1.7373,2.3438,0.0191,0.0243,169
D_pure_nbfi,LOFC,G2(Finance(NBFI)),1,2.7602,2.3236,1.1879,0.2349,0.0112,169
D_pure_nbfi,LOFC,G2(Finance(NBFI)),2,1.0524,2.0268,0.5192,0.6036,0.0016,168
D_pure_nbfi,LOFC,G2(Finance(NBFI)),3,0.4432,0.9711,0.4564,0.6481,0.0003,167
D_pure_nbfi,CFIN,G2(Finance(NBFI)),0,-1.068,0.7988,-1.3371,0.1812,0.0162,169
