date,series,base,index,mom_pct_reported,yoy_pct_reported,ma12_pct_reported
2020-11-30,NCPI,2013=100,139.8,0.5,5.2,6.3
2020-12-31,NCPI,2013=100,141.2,1.0,4.6,6.2
2021-01-31,NCPI,2013=100,142.1,0.6,3.7,5.8
2021-02-28,NCPI,2013=100,142.8,0.5,4.2,5.5
2021-03-31,NCPI,2013=100,142.1,-0.5,5.1,5.3
2021-04-30,NCPI,2013=100,142.2,0.1,5.5,5.3
2021-05-31,NCPI,2013=100,143.6,1.0,6.1,5.4
2021-06-30,NCPI,2013=100,145.7,1.5,6.1,5.4
2021-07-31,NCPI,2013=100,146.6,0.6,6.8,5.4
2021-08-31,NCPI,2013=100,147.1,0.3,6.7,5.5
2021-09-30,NCPI,2013=100,147.5,0.3,6.2,5.5
2021-10-31,NCPI,2013=100,150.6,2.1,8.3,5.7
2021-11-30,NCPI,2013=100,155.3,3.1,11.1,6.2
2021-12-31,NCPI,2013=100,161.0,3.7,14.0,7.0
2022-01-31,NCPI,2013=100,166.0,3.1,16.8,8.1
2022-02-28,NCPI,2013=100,167.8,1.1,17.5,9.3
2022-03-31,NCPI,2013=100,172.7,2.9,21.5,10.6
2022-04-30,NCPI,2013=100,190.3,10.2,33.8,13.0
2022-05-31,NCPI,2013=100,208.7,9.7,45.3,16.3
2022-06-30,NCPI,2013=100,231.5,10.9,58.9,20.8
2022-07-31,NCPI,2013=100,244.4,5.6,66.7,25.9
2022-08-31,NCPI,2013=100,250.4,2.5,70.2,31.3
2022-09-30,NCPI,2013=100,256.2,2.3,73.7,36.9
2022-10-31,NCPI,2013=100,256.9,0.3,70.6,42.2
2022-11-30,NCPI,2013=100,256.3,-0.2,65.0,46.7
2022-12-31,NCPI,2013=100,256.3,0.0,59.2,50.4
