date,s_vader,s_lm,n_articles,neg_share_vader,neg_share_lm
2016-04-03,0.0,0.0,1,0.0,0.0
2016-04-04,-0.031799999999999974,-0.16666666666666666,3,0.3333333333333333,0.3333333333333333
2016-04-05,-0.04981999999999999,0.14666666666666667,5,0.6,0.2
2016-04-06,-0.269675,-1.0,4,0.75,1.0
2016-04-07,0.49768,-0.26666666666666666,5,0.2,0.6
2016-04-08,-0.091925,-0.2916666666666667,4,0.5,0.5
2016-04-09,0.4899,0.5,2,0.0,0.0
2016-04-10,-0.89545,-0.375,2,1.0,0.5
2016-04-11,0.7046,0.4444444444444444,3,0.0,0.0
2016-04-12,0.373125,-0.125,8,0.25,0.375
2016-04-13,0.4774,0.07142857142857142,7,0.14285714285714285,0.14285714285714285
2016-04-14,-0.8853,-1.0,1,1.0,1.0
2016-04-15,0.4350333333333333,0.4166666666666667,6,0.16666666666666666,0.0
2016-04-16,0.743,0.0,1,0.0,0.0
2016-04-18,-0.332125,-0.75,4,0.5,0.75
2016-04-19,0.36033333333333334,-0.35185185185185186,6,0.3333333333333333,0.6666666666666666
2016-04-20,-0.01359999999999999,0.12242424242424241,10,0.5,0.2
2016-04-21,-0.16964444444444443,0.0,9,0.3333333333333333,0.1111111111111111
2016-04-22,-0.035650000000000015,-0.35714285714285715,4,0.5,0.5
2016-04-23,0.14145000000000002,0.125,4,0.25,0.25
2016-04-24,0.41348,0.11428571428571428,5,0.2,0.4
2016-04-25,0.5155000000000001,0.0,5,0.2,0.4
2016-04-26,0.31232499999999996,-0.3833333333333333,4,0.25,0.75
2016-04-27,0.059175000000000005,0.4083333333333333,8,0.25,0.0
2016-04-28,0.5052,-0.3333333333333333,3,0.0,0.3333333333333333
2016-04-29,0.3523272727272727,0.09848484848484848,11,0.18181818181818182,0.2727272727272727
2016-04-30,-0.362525,-0.20673076923076922,4,0.75,0.5
2016-05-01,0.06090000000000001,0.0,2,0.5,0.5
2016-05-02,0.5016428571428572,0.30476190476190473,7,0.14285714285714285,0.14285714285714285
2016-05-03,-0.6592,0.3333333333333333,3,0.6666666666666666,0.0
2016-05-04,-0.5267,0.0,1,1.0,0.0
2016-05-05,0.16885000000000003,0.5,2,0.5,0.0
2016-05-06,0.5151,-0.2,2,0.0,0.5
2016-05-07,-0.51738,-0.1619047619047619,5,0.8,0.8
2016-05-08,0.40035,0.5,2,0.5,0.0
2016-05-09,0.25885,0.05,4,0.25,0.25
2016-05-10,-0.09953333333333332,0.044444444444444446,9,0.6666666666666666,0.2222222222222222
2016-05-11,-0.13028333333333333,-0.4666666666666666,6,0.3333333333333333,0.5
2016-05-12,-0.04846000000000002,0.10222222222222221,10,0.5,0.2
2016-05-13,0.39844615384615384,0.08974358974358973,13,0.15384615384615385,0.23076923076923078
2016-05-14,0.3615333333333333,0.6666666666666666,3,0.3333333333333333,0.0
2016-05-15,0.41146666666666665,0.3333333333333333,3,0.0,0.0
2016-05-16,-0.09214999999999998,-0.02777777777777779,2,0.5,0.5
2016-05-17,0.8573500000000001,0.3888888888888889,4,0.0,0.0
2016-05-18,0.9407,-0.3333333333333333,1,0.0,1.0
2016-05-19,0.18070000000000003,0.6,5,0.4,0.0
2016-05-20,-0.08976666666666666,-0.3333333333333333,6,0.5,0.5
2016-05-22,0.9486,0.0,1,0.0,0.0
2016-05-23,-0.5423,0.0,1,1.0,0.0
2016-05-24,-0.6488333333333333,-0.06666666666666667,3,1.0,0.3333333333333333
2016-05-25,0.3489166666666666,0.1851851851851852,6,0.16666666666666666,0.0
2016-05-26,-0.30115,-0.5,2,0.5,0.5
2016-05-27,-0.01429999999999998,-0.09333333333333334,5,0.4,0.2
2016-05-28,0.04349999999999998,-0.4166666666666667,4,0.5,0.5
2016-05-29,0.7407999999999999,0.125,2,0.0,0.0
2016-05-30,-0.3293,-0.24603174603174602,6,0.6666666666666666,0.5
2016-05-31,-0.08545000000000001,-0.02380952380952382,6,0.5,0.16666666666666666
2016-06-01,-0.02537499999999998,-0.125,8,0.375,0.375
2016-06-02,0.2621166666666667,0.20370370370370372,6,0.3333333333333333,0.16666666666666666
2016-06-03,0.5517833333333333,-0.4166666666666667,6,0.0,0.5
2016-06-04,0.06462857142857144,0.03174603174603175,7,0.42857142857142855,0.42857142857142855
2016-06-05,0.4393,0.5,2,0.0,0.0
2016-06-06,-0.09053333333333331,0.0,3,0.3333333333333333,0.0
2016-06-07,0.22470000000000004,0.03401360544217687,7,0.2857142857142857,0.14285714285714285
2016-06-08,0.5936166666666667,0.18253968253968253,6,0.0,0.0
2016-06-09,-0.13335555555555556,-0.3904761904761905,9,0.5555555555555556,0.4444444444444444
2016-06-10,-0.2786571428571429,-0.6214285714285713,7,0.7142857142857143,0.7142857142857143
2016-06-11,-0.374575,0.0,4,0.75,0.25
2016-06-12,0.41933333333333334,-0.3333333333333333,3,0.0,0.3333333333333333
2016-06-13,-0.1537666666666667,-0.3333333333333333,3,0.6666666666666666,0.3333333333333333
2016-06-14,0.5305,-0.13203463203463203,11,0.18181818181818182,0.45454545454545453
2016-06-15,0.011099999999999999,-0.14666666666666667,5,0.2,0.4
2016-06-16,0.28827272727272724,0.09595959595959597,11,0.18181818181818182,0.2727272727272727
2016-06-17,0.20176,-0.033333333333333326,10,0.2,0.3
2016-06-18,0.31342857142857145,0.04761904761904761,7,0.14285714285714285,0.14285714285714285
2016-06-19,0.2732,0.0,1,0.0,0.0
2016-06-20,0.28602857142857147,-0.01587301587301588,7,0.14285714285714285,0.2857142857142857
2016-06-21,-0.15662000000000004,-0.33333333333333337,5,0.6,0.6
2016-06-22,-0.18736666666666665,-0.012345679012345685,9,0.4444444444444444,0.4444444444444444
2016-06-23,-0.09407272727272727,-0.44372294372294374,11,0.5454545454545454,0.5454545454545454
2016-06-24,-0.30749,-0.3071428571428571,10,0.7,0.5
2016-06-25,-0.011333333333333325,-0.4454545454545455,6,0.3333333333333333,0.6666666666666666
2016-06-26,0.26396,-0.13333333333333336,5,0.2,0.4
2016-06-27,-0.0793125,-0.3892857142857143,8,0.5,0.5
2016-06-28,0.44261666666666666,0.2222222222222222,6,0.0,0.0
2016-06-29,0.3587,0.18055555555555555,12,0.08333333333333333,0.16666666666666666
2016-06-30,0.0610875,-0.33617424242424243,16,0.4375,0.5
2016-07-01,-0.22255,-0.3682692307692308,8,0.5,0.625
2016-07-02,-0.2915,-0.2833333333333333,8,0.625,0.5
2016-07-03,0.0,0.0,2,0.0,0.0
2016-07-04,0.0189125,-0.011363636363636364,8,0.125,0.25
2016-07-05,0.20878333333333332,-0.09999999999999999,6,0.16666666666666666,0.16666666666666666
2016-07-06,0.22317142857142858,-0.1015873015873016,7,0.2857142857142857,0.42857142857142855
2016-07-07,0.05247777777777777,-0.14814814814814814,9,0.3333333333333333,0.2222222222222222
2016-07-08,0.17015714285714284,-0.12698412698412698,7,0.14285714285714285,0.5714285714285714
2016-07-09,-0.05702500000000002,-0.24583333333333332,8,0.5,0.5
2016-07-10,0.7472,0.4444444444444444,3,0.0,0.0
2016-07-11,-0.096925,-0.3611111111111111,8,0.5,0.375
2016-07-12,0.36272000000000004,-0.4,5,0.4,0.6
2016-07-13,0.0856,-0.4717948717948718,13,0.46153846153846156,0.5384615384615384
2016-07-14,0.23725454545454544,0.36623376623376624,11,0.45454545454545453,0.09090909090909091
2016-07-15,-0.0011750000000000024,0.031547619047619054,8,0.375,0.5
2016-07-16,-0.31539999999999996,-0.380952380952381,7,0.5714285714285714,0.42857142857142855
2016-07-17,-0.5106,0.0,1,1.0,0.0
2016-07-18,-0.5190142857142858,-0.42857142857142855,7,0.8571428571428571,0.42857142857142855
2016-07-19,0.6048,-0.05272108843537415,7,0.0,0.42857142857142855
2016-07-20,0.048381818181818186,-0.004329004329004324,11,0.2727272727272727,0.2727272727272727
2016-07-21,0.14353333333333335,-0.3779461279461279,9,0.3333333333333333,0.6666666666666666
2016-07-22,0.3285666666666667,0.255026455026455,9,0.2222222222222222,0.3333333333333333
2016-07-23,-0.18014,-0.2,5,0.6,0.4
2016-07-24,-0.4844,0.0,2,0.5,0.0
2016-07-25,-0.1598,0.26666666666666666,5,0.6,0.0
2016-07-26,-0.05987142857142858,-0.47619047619047616,7,0.5714285714285714,0.5714285714285714
2016-07-27,-0.017966666666666676,-0.25,6,0.6666666666666666,0.3333333333333333
2016-07-28,0.4448,0.0,7,0.14285714285714285,0.42857142857142855
2016-07-29,0.34188,0.28888888888888886,10,0.2,0.2
2016-07-30,-0.2221,-1.0,3,0.6666666666666666,1.0
2016-07-31,-0.22625,-0.25,4,0.75,0.5
2016-08-01,-0.14276666666666668,-0.5,6,0.6666666666666666,0.5
2016-08-02,0.261375,-0.16666666666666669,4,0.25,0.25
2016-08-03,0.3131,0.35185185185185186,6,0.3333333333333333,0.16666666666666666
2016-08-04,0.10749999999999997,0.21428571428571427,7,0.2857142857142857,0.14285714285714285
2016-08-05,0.3744125,0.08894230769230771,8,0.0,0.25
2016-08-06,0.4138,0.0,2,0.5,0.5
2016-08-07,-0.032966666666666665,0.0,3,0.3333333333333333,0.0
2016-08-08,-0.14506666666666665,-0.22222222222222224,3,0.6666666666666666,0.3333333333333333
2016-08-09,0.5236000000000001,0.06562881562881562,9,0.1111111111111111,0.4444444444444444
2016-08-10,0.28678333333333333,-0.22222222222222224,12,0.25,0.3333333333333333
2016-08-11,0.2318625,0.16666666666666666,8,0.25,0.0
2016-08-12,-0.02267999999999999,-0.2,5,0.4,0.2
2016-08-13,0.41386,0.2,5,0.2,0.0
2016-08-14,0.30700000000000005,0.5,2,0.5,0.0
2016-08-15,0.27921666666666667,0.4047619047619048,6,0.5,0.0
2016-08-16,0.4793,0.5,4,0.0,0.0
2016-08-17,-0.05276666666666666,0.0,6,0.5,0.3333333333333333
2016-08-18,-0.8078,0.1111111111111111,1,1.0,0.0
2016-08-19,-0.3686,-0.25,4,0.75,0.25
2016-08-20,-0.35450000000000004,0.3333333333333333,2,1.0,0.0
2016-08-21,0.403175,0.5,4,0.0,0.0
2016-08-22,0.016159999999999997,-0.2,5,0.4,0.2
2016-08-23,0.13656000000000001,-0.2,5,0.2,0.2
2016-08-24,0.27035714285714285,0.14285714285714285,7,0.14285714285714285,0.14285714285714285
2016-08-25,0.26921,-0.4,10,0.3,0.5
2016-08-26,-0.09115,-0.5,4,0.5,0.5
2016-08-27,0.1761,-0.39285714285714285,4,0.0,0.5
2016-08-28,0.2131333333333333,-0.3333333333333333,3,0.0,0.3333333333333333
2016-08-29,0.280375,0.4375,4,0.25,0.25
2016-08-30,0.4566666666666667,0.18253968253968256,3,0.3333333333333333,0.3333333333333333
2016-08-31,0.27576666666666666,0.3333333333333333,3,0.3333333333333333,0.3333333333333333
2016-09-01,0.08019166666666667,0.21666666666666667,12,0.4166666666666667,0.16666666666666666
2016-09-02,0.5872,0.5555555555555555,3,0.0,0.0
2016-09-03,-0.26789999999999997,-0.3666666666666667,3,0.6666666666666666,0.6666666666666666
2016-09-04,-0.10619999999999996,0.1111111111111111,2,0.5,0.5
2016-09-06,0.12675714285714285,0.10204081632653061,7,0.5714285714285714,0.14285714285714285
2016-09-07,-0.17689999999999997,-0.6666666666666666,3,0.6666666666666666,0.6666666666666666
2016-09-08,0.15293333333333334,0.0,3,0.0,0.0
2016-09-09,-0.38548,-0.3,5,0.8,0.6
2016-09-10,0.25846,-0.20952380952380953,5,0.4,0.4
2016-09-11,-0.13759999999999997,-0.08333333333333333,3,0.6666666666666666,0.3333333333333333
2016-09-12,-0.45865,-0.16666666666666666,2,0.5,0.5
2016-09-13,0.1658,0.06666666666666667,5,0.4,0.2
2016-09-14,0.11964999999999999,0.1761904761904762,10,0.4,0.2
2016-09-15,0.3708666666666667,-0.16931216931216933,9,0.2222222222222222,0.3333333333333333
2016-09-16,0.2916666666666667,0.6888888888888888,6,0.3333333333333333,0.16666666666666666
2016-09-17,0.48723333333333335,0.26666666666666666,3,0.0,0.3333333333333333
2016-09-18,0.23835,0.0,2,0.0,0.0
2016-09-19,0.9667,1.0,3,0.0,0.0
2016-09-20,0.152925,0.175,4,0.5,0.0
2016-09-21,0.0575833333333333,0.0,6,0.5,0.5
2016-09-22,0.30476000000000003,-0.4,5,0.4,0.6
2016-09-23,0.57038,0.6761904761904762,5,0.2,0.0
2016-09-24,0.05717499999999999,-0.02272727272727272,8,0.375,0.375
2016-09-25,-0.035449999999999995,0.0,2,0.5,0.0
2016-09-26,0.1345,0.19047619047619047,6,0.3333333333333333,0.16666666666666666
2016-09-27,0.18755555555555556,0.23333333333333334,9,0.3333333333333333,0.1111111111111111
2016-09-28,0.23352499999999998,-0.17708333333333334,8,0.25,0.375
2016-09-29,0.16515999999999997,0.15714285714285714,10,0.3,0.1
2016-09-30,-0.3375636363636364,-0.39545454545454545,11,0.6363636363636364,0.45454545454545453
2016-10-01,0.7195499999999999,1.0,2,0.0,0.0
