date,policy_rate,sdfr,slfr,tb_3m,tb_12m,awdr,awpr,awlr,spread
2006-11-30,9.625,9.625,11.125,12.32,12.58,7.87,13.52,16.4,5.6499999999999995
2006-12-31,10.0,10.0,11.5,12.76,12.96,7.6,14.74,16.6,7.140000000000001
2007-01-31,10.0,10.0,11.5,13.37,13.58,7.6,15.52,16.6,7.92
2007-02-28,10.5,10.5,12.0,14.06,14.2,8.18,15.35,16.6,7.17
2007-03-31,10.5,10.5,12.0,14.62,14.53,8.26,17.57,16.84,9.31
2007-04-30,10.5,10.5,12.0,16.56,16.19,8.34,19.49,16.84,11.149999999999999
2007-05-31,10.5,10.5,12.0,16.91,16.57,8.65,16.82,16.84,8.17
2007-06-30,10.5,10.5,12.0,17.4,16.89,8.86,16.0,17.14,7.140000000000001
2007-07-31,10.5,10.5,12.0,17.38,16.89,9.27,17.48,17.14,8.21
2007-08-31,10.5,10.5,12.0,17.65,16.89,9.61,17.14,17.14,7.530000000000001
2007-09-30,10.5,10.5,12.0,18.2,17.31,9.65,17.9,17.46,8.249999999999998
2007-10-31,10.5,10.5,12.0,17.23,17.16,9.92,18.31,17.46,8.389999999999999
2007-11-30,10.5,10.5,12.0,17.07,19.07,10.31,16.34,17.46,6.029999999999999
2007-12-31,10.5,10.5,12.0,21.3,19.96,10.31,17.0,18.08,6.6899999999999995
2008-01-31,10.5,10.5,12.0,19.25,19.45,10.32,18.25,18.08,7.93
2008-02-29,10.5,10.5,12.0,18.48,19.04,10.45,17.7,18.08,7.25
2008-03-31,10.5,10.5,12.0,18.39,19.0,10.47,17.95,18.32,7.479999999999999
2008-04-30,10.5,10.5,12.0,18.51,19.0,10.58,18.94,18.32,8.360000000000001
2008-05-31,10.5,10.5,12.0,17.14,18.4,10.76,18.88,18.32,8.12
2008-06-30,10.5,10.5,12.0,17.29,18.53,10.92,18.83,19.07,7.909999999999998
2008-07-31,10.5,10.5,12.0,17.26,18.65,10.93,18.25,19.07,7.32
2008-08-31,10.5,10.5,12.0,16.46,18.6,10.91,17.84,19.07,6.93
2008-09-30,10.5,10.5,12.0,17.22,19.06,11.03,19.82,19.61,8.790000000000001
2008-10-31,10.5,10.5,12.0,17.2,19.06,11.28,20.28,19.61,9.000000000000002
2008-11-30,10.5,10.5,12.0,17.2,19.06,11.39,20.79,19.61,9.399999999999999
2008-12-31,10.5,10.5,12.0,17.33,19.12,11.63,19.17,20.13,7.540000000000001
2009-01-31,10.5,10.5,12.0,15.94,17.56,11.74,18.92,20.13,7.1800000000000015
2009-02-28,10.25,10.25,11.75,15.76,17.73,11.55,19.56,20.13,8.009999999999998
2009-03-31,10.25,10.25,11.75,14.62,16.63,11.53,18.96,19.73,7.4300000000000015
