date,ticker,open,high,low,close,volume
2012-02-23,SAMP.N0000,53.421292,55.641013,53.273311,55.522631,127042.98
2012-02-24,SAMP.N0000,53.421292,57.268809,52.237441,56.232939,378425.89
2012-02-27,SAMP.N0000,53.421292,56.232939,53.421292,55.936976,1669395.41
2012-03-05,SAMP.N0000,52.178248,53.865236,51.793496,52.178248,31487.06
2012-03-06,SAMP.N0000,53.717255,53.865236,53.273311,53.717255,43255.43
2012-03-08,SAMP.N0000,53.717255,53.865236,53.569273,53.717255,41647.12
2012-03-09,SAMP.N0000,53.776447,54.161199,53.569273,53.776447,31132.29
2012-03-13,SAMP.N0000,54.782724,55.019488,53.894835,54.782724,82604.97
2012-03-14,SAMP.N0000,54.605143,55.493032,54.457162,54.605143,40562.53
2012-03-15,SAMP.N0000,54.812317,54.812317,54.753125,54.812317,25716.07
2012-03-16,SAMP.N0000,54.960299,55.37465,54.753125,54.960299,39626.6
2012-03-19,SAMP.N0000,55.34505,55.463433,54.753125,55.34505,206286.03
2012-03-20,SAMP.N0000,55.522631,55.641013,54.782724,55.522631,312292.59
2012-03-21,SAMP.N0000,55.433839,55.641013,55.34505,55.433839,61433.39
2012-03-22,SAMP.N0000,55.34505,55.522631,55.197069,55.34505,278896.5
2012-03-23,SAMP.N0000,55.37465,55.788995,55.34505,55.37465,126319.91
2012-03-26,SAMP.N0000,54.960299,55.493032,54.753125,54.960299,12308.98
2012-03-27,SAMP.N0000,54.723526,55.493032,54.457162,54.723526,83054.35
2012-03-28,SAMP.N0000,52.326229,53.273311,51.793496,52.326229,1049503.39
2012-03-29,SAMP.N0000,52.740577,52.947748,52.089459,52.740577,486986.82
2012-03-30,SAMP.N0000,53.214118,53.865236,52.592596,53.214118,310910.66
2012-04-02,SAMP.N0000,51.083189,52.533403,50.313682,51.083189,452898.08
2012-04-03,SAMP.N0000,51.527133,51.793496,50.757626,51.527133,302882.62
2012-04-04,SAMP.N0000,51.793496,52.089459,51.201571,51.793496,92636.63
2012-04-05,SAMP.N0000,52.030267,52.355823,51.497534,52.030267,136915.84
2012-04-09,SAMP.N0000,51.823096,52.355823,51.23117,51.823096,101492.47
2012-04-10,SAMP.N0000,51.823096,52.089459,51.527133,51.823096,45765.88
2012-04-11,SAMP.N0000,51.971077,52.237441,51.793496,51.971077,33612.33
2012-04-16,SAMP.N0000,52.296633,52.385422,51.793496,52.296633,100299.76
2012-04-17,SAMP.N0000,52.651786,52.681385,52.385422,52.651786,185739.54
2012-04-18,SAMP.N0000,52.770174,52.977348,52.089459,52.770174,117355.95
2012-04-19,SAMP.N0000,53.214118,53.273311,52.681385,53.214118,203255.25
2012-04-20,SAMP.N0000,52.888559,53.273311,52.829366,52.888559,74681.67
2012-04-23,SAMP.N0000,52.977348,52.977348,52.681385,52.977348,54675.78
2012-04-24,SAMP.N0000,53.03654,53.243711,52.681385,53.03654,203880.33
2012-04-25,SAMP.N0000,53.154928,53.273311,52.681385,53.154928,227275.16
2012-04-26,SAMP.N0000,52.681385,53.125329,51.852689,52.681385,72221.91
2012-04-27,SAMP.N0000,52.710984,52.799767,52.089459,52.710984,95251.82
2012-04-30,SAMP.N0000,52.622192,52.977348,52.385422,52.622192,42539.12
2012-05-02,SAMP.N0000,52.385422,52.681385,52.385422,52.385422,35815.31
2012-05-03,SAMP.N0000,51.675114,52.385422,51.645515,51.675114,1607211.92
2012-05-04,SAMP.N0000,51.083189,51.497534,50.935207,51.083189,56361.81
2012-05-08,SAMP.N0000,49.869738,51.349552,49.751356,49.869738,122643.78
2012-05-09,SAMP.N0000,49.899337,50.313682,49.721757,49.899337,108020.32
2012-05-10,SAMP.N0000,48.863467,50.313682,48.833868,48.863467,94285.49
2012-05-11,SAMP.N0000,49.189023,50.25449,48.893061,49.189023,58835.09
2012-05-14,SAMP.N0000,49.277812,50.609645,49.129831,49.277812,125397.5
2012-05-15,SAMP.N0000,49.751356,50.017719,49.277812,49.751356,97812.96
2012-05-16,SAMP.N0000,49.484986,50.313682,49.425794,49.484986,2223269
2012-05-17,SAMP.N0000,49.780949,50.313682,49.425794,49.780949,33230.52
2012-05-18,SAMP.N0000,49.928931,50.017719,49.721757,49.928931,17387.32
2012-05-21,SAMP.N0000,49.573775,50.017719,49.573775,49.573775,55537.38
2012-05-22,SAMP.N0000,49.129831,50.017719,48.981849,49.129831,47374.19
2012-05-23,SAMP.N0000,48.833868,49.129831,48.597098,48.833868,69579.68
2012-05-24,SAMP.N0000,48.241942,48.833868,48.241942,48.241942,9970.85
2012-05-25,SAMP.N0000,48.241942,48.389924,48.241942,48.241942,63575.55
2012-05-28,SAMP.N0000,47.768399,48.241942,47.058091,47.768399,934140.93
2012-05-29,SAMP.N0000,47.14688,47.354054,46.821321,47.14688,94113.17
