date,ticker,open,high,low,close,volume
2012-02-23,COMB.N0000,79.607507,81.83429,79.607507,80.005146,77956.86
2012-02-24,COMB.N0000,79.607507,79.925619,79.448453,79.527979,665584.98
2012-02-27,COMB.N0000,79.607507,80.720898,79.209865,79.527979,279041.69
2012-03-05,COMB.N0000,79.527979,79.527979,79.209865,79.527979,116326.06
2012-03-06,COMB.N0000,79.368925,79.527979,79.050812,79.368925,180761.75
2012-03-08,COMB.N0000,79.209865,79.527979,79.130339,79.209865,53085.21
2012-03-09,COMB.N0000,79.130339,79.527979,78.812225,79.130339,43076.65
2012-03-13,COMB.N0000,78.891752,79.368925,78.335059,78.891752,41455.61
2012-03-14,COMB.N0000,79.209865,79.209865,78.812225,79.209865,97942.85
2012-03-15,COMB.N0000,79.527979,79.527979,79.130339,79.527979,467395.47
2012-03-16,COMB.N0000,79.527979,79.607507,79.289392,79.527979,1648053.74
2012-03-19,COMB.N0000,79.448453,79.527979,79.368925,79.448453,448588.22
2012-03-20,COMB.N0000,79.527979,79.607507,79.130339,79.527979,696071.21
2012-03-21,COMB.N0000,79.527979,79.527979,79.209865,79.527979,369527.77
2012-03-22,COMB.N0000,79.527979,79.527979,79.130339,79.527979,375373.16
2012-03-23,COMB.N0000,79.527979,79.527979,79.368925,79.527979,774855.77
2012-03-26,COMB.N0000,79.527979,79.687035,79.448453,79.527979,330630.39
2012-03-27,COMB.N0000,79.448453,79.527979,79.130339,79.448453,216410.61
2012-03-28,COMB.N0000,79.527979,79.527979,79.289392,79.527979,83177.46
2012-03-29,COMB.N0000,79.289392,79.527979,79.289392,79.289392,305945.54
2012-03-30,COMB.N0000,79.527979,79.527979,79.368925,79.527979,784182.64
2012-04-02,COMB.N0000,78.971285,79.527979,78.891752,78.971285,11595.25
2012-04-03,COMB.N0000,79.209865,79.607507,78.335059,79.209865,11195004.02
2012-04-04,COMB.N0000,79.368925,79.527979,79.130339,79.368925,68768.48
2012-04-05,COMB.N0000,79.209865,79.368925,78.891752,79.209865,101619.71
2012-04-09,COMB.N0000,79.527979,79.527979,79.130339,79.527979,72080.33
2012-04-10,COMB.N0000,79.368925,79.527979,79.130339,79.368925,14556.05
2012-04-11,COMB.N0000,79.527979,79.527979,79.130339,79.527979,62815.73
2012-04-16,COMB.N0000,79.527979,79.607507,79.209865,79.527979,72276.79
2012-04-17,COMB.N0000,79.687035,80.323258,79.368925,79.687035,69200.04
2012-04-18,COMB.N0000,80.959482,81.83429,79.607507,80.959482,214356.94
2012-04-19,COMB.N0000,83.583906,84.299658,81.754762,83.583906,669690.18
2012-04-20,COMB.N0000,82.709098,84.299658,82.390986,82.709098,90325.05
2012-04-23,COMB.N0000,83.504378,83.742962,82.709098,83.504378,291444.23
2012-04-24,COMB.N0000,83.504378,83.742962,83.265793,83.504378,416905
2012-04-25,COMB.N0000,83.583906,83.742962,83.504378,83.583906,104249.87
