date,iip_index,iip_mom_pct_DO_NOT_USE,iip_yoy_pct,iip_yoy_3mavg,d_iip_yoy_3m
2025-07-31,101.4,2.94,6.4,5.78,4.7
2025-08-31,98.2,-3.16,7.68,6.78,2.99
2025-09-30,96.5,-1.73,4.66,6.25,-1.6
2025-10-31,100.2,3.83,4.81,5.72,-1.59
2025-11-30,99.0,-1.2,5.66,5.04,-2.02
2025-12-31,99.1,0.1,4.54,5.0,-0.12
2026-01-31,99.3,0.2,4.31,4.84,-0.5
2026-02-28,97.3,-2.01,4.06,4.3,-1.6
2026-03-31,106.9,9.87,2.89,3.75,-1.65
2026-04-30,90.9,-14.97,1.45,2.8,-2.86
2026-05-31,99.9,9.9,1.73,2.02,-2.33
