ds,y,yhat,yhat_lower,yhat_upper
2024-07-12,193.942444,170.44833716842518,147.9988911823318,191.49483407645275
2024-07-15,194.190136,169.3511475643529,146.49816845305216,192.18516483394427
2024-07-16,195.428594,168.53243888727596,146.21866198979637,190.84621092283393
2024-07-17,194.190136,168.89066806293212,145.8157122266444,188.80531938163134
2024-07-18,192.208604,168.94528193211443,146.91129592468656,190.7007091478205
2024-07-19,190.227072,172.08568913361455,149.39184056070033,194.09895008514016
2024-07-22,186.264008,171.4013485372077,150.20788892733373,193.5561206658097
2024-07-23,187.254774,170.69471756425304,148.37144889563575,192.96555768294905
2024-07-24,187.254774,171.14930748397714,148.12303447845994,194.62915224452567
2024-07-25,187.750157,171.28311562829708,148.9755232074169,193.92289471250328
2024-07-26,189.236306,174.48434288951069,150.45664658773953,196.2030623139086
2024-07-29,186.759391,173.86409321978184,151.9503141717648,195.39512612145825
2024-07-30,186.511699,173.13805699972693,149.7010649435511,196.2481752227998
2024-07-31,187.750157,173.55292110842316,149.31939193124518,194.48174585969593
2024-08-01,187.502465,173.6271564059029,150.5782130416425,195.90056827613265
2024-08-02,184.282476,176.74972247700018,154.5898102055613,199.59618704158854
2024-08-05,179.824029,175.79061448918966,152.66090810298104,198.16655360681926
2024-08-06,181.310178,174.92246972518313,151.60517076633664,197.8979539477375
2024-08-07,182.300944,175.1837705290461,152.2503477875175,197.52150057445306
2024-08-08,178.33788,175.09514272163113,152.21327498147156,199.46573390636183
2024-08-09,178.833263,178.0478473939862,154.48193606263658,199.74190143170173
2024-08-12,178.090189,176.5616671750622,153.44970308147856,198.6739789354622
2024-08-13,178.090189,175.5204074025123,153.212994473887,196.13505042277018
2024-08-14,178.33788,175.6140663488237,153.2384439098275,197.26106871261734
2024-08-15,180.319412,175.36568659982208,152.71316355760362,197.54408994423807
2024-08-16,182.796327,178.16882699752173,155.682287848716,202.49817511540732
2024-08-20,183.29171,175.18467300635703,152.28229252596645,198.34459651658804
2024-08-21,182.548635,175.207403576527,152.7017304213948,197.03509256436217
2024-08-22,180.319412,174.90755717119,151.66533470048117,196.5769842107168
2024-08-23,178.33788,177.67921833815143,154.77976907533784,200.97234106396377
2024-08-26,173.38405,175.85146607671945,152.87172637758945,198.11273959435425
2024-08-27,173.136359,174.7675385490649,152.79864072583126,196.14685173831657
2024-08-28,171.154827,174.85462690557407,150.95738977660844,198.43723462418515
2024-08-29,171.402518,174.6351556270759,152.30276070350223,197.66329311756974
2024-08-30,166.448688,177.5014603255231,156.21156686654288,200.87389180039932
2024-09-02,163.47639,176.02234546881783,152.92249485883565,199.2882867414554
2024-09-03,162.485624,175.068383717328,151.07067526161248,196.86581076191118
2024-09-04,166.448688,175.28814665783875,153.0924795904224,198.7229596304873
2024-09-05,162.485624,175.20150821476858,152.01110462925763,198.12504841199137
2024-09-06,162.485624,178.1982937166717,154.52084041701903,200.33649790896627
2024-09-09,157.531794,177.07310121024727,155.53010675507295,201.68150230395165
2024-09-10,155.550262,176.21771246672932,153.53601821543128,199.18318183772374
