ds,y,yhat,yhat_lower,yhat_upper
2024-09-24,26.1,30.611557558906654,28.328931276356624,32.744355758842076
2024-09-25,27.0,30.644242551196538,28.30032512479449,32.89942283588528
2024-09-26,27.0,30.697541587544855,28.467066289225365,33.089851808800354
2024-09-27,27.5,30.794981665143883,28.433369613414268,33.02004461766035
2024-09-30,27.5,30.822873598110263,28.640145592678127,33.085835790604285
2024-10-01,27.0,30.731780757470094,28.37636636759312,32.81842895332672
2024-10-02,26.7,30.745894241977137,28.75226002720429,33.1028756879323
2024-10-03,26.7,30.781363114495726,28.404467401180952,33.17392161981904
2024-10-04,26.7,30.862118923316533,28.6837370945714,33.25175484336002
2024-10-07,27.0,30.850332881470095,28.609368012483518,33.07425631511562
2024-10-08,27.1,30.750395045045558,28.60482008469736,33.052753833584084
2024-10-09,27.2,30.758169063602327,28.389730489706626,32.92477035304215
2024-10-10,27.4,30.789895130760993,28.768966208675025,33.036270722718236
2024-10-11,27.6,30.869527326808097,28.60855586331641,33.09470188454774
2024-10-14,27.7,30.8692988641135,28.591447749809216,33.003154761240324
2024-10-15,27.8,30.777613334089292,28.53606146697992,33.124151521460895
2024-10-16,27.5,30.79541412876018,28.378169865613,32.94956938082979
2024-10-18,27.6,30.93083290390957,28.605460162255984,33.06857635206565
2024-10-21,27.5,30.971190539040066,28.555126699704097,33.07822192389717
2024-10-22,27.6,30.8927276531465,28.656059679021148,33.29882498554981
2024-10-23,28.1,30.923009571898156,28.721765906490223,33.1250264592863
2024-10-24,28.1,30.97764702212382,28.675338869818304,33.37863980546367
2024-10-25,29.2,31.079976574810868,28.85028612232235,33.321765685105994
2024-10-28,30.5,31.140932854771478,28.930263775834728,33.55078488109995
2024-10-29,30.9,31.06576105604342,28.639032774380322,33.29943627082284
2024-10-30,31.8,31.09754019653811,28.815572482080505,33.25259393835148
2024-11-01,32.8,31.252534323580978,29.044353731246407,33.66161375643132
2024-11-04,32.8,31.301059505062135,29.004957846436522,33.52740566725262
2024-11-05,33.0,31.22029444919019,29.077168327943646,33.479897075802114
2024-11-06,32.1,31.246282000773444,28.91205240360614,33.54225522499499
2024-11-07,32.0,31.295052487476628,28.959369247921714,33.414920797360864
2024-11-08,32.0,31.39041376913088,29.14319516055929,33.48175299076758
2024-11-11,32.4,31.428986598054554,29.19723873024067,33.695482959717154
2024-11-12,32.7,31.347581432037973,29.103236591439813,33.65416998714021
2024-11-13,33.0,31.374542285171653,29.17610761485302,33.59907998010748
2024-11-14,32.6,31.425977135896016,29.22114494493734,33.75856934962371
2024-11-18,32.9,31.586749166626888,29.41306880715316,33.79341535403051
