class,precision,recall,f1,support
Sell,0.3247422680412371,0.32642487046632124,0.32558139534883723,193.0
Hold,0.4444444444444444,0.3735408560311284,0.4059196617336152,257.0
Buy,0.31666666666666665,0.38,0.34545454545454546,200.0
ACCURACY,,,0.36153846153846153,650.0
