ds,y,yhat,yhat_lower,yhat_upper
2024-07-30,424.0,264.81782650154696,152.43257505927534,390.556787596365
2024-07-31,418.0,263.667895082863,153.08108021435223,386.73219698778513
2024-08-01,419.5,262.54730096441,139.31765896396942,376.22590150941755
2024-08-02,414.5,269.5859568830805,148.82644890397356,389.855920389994
2024-08-05,409.75,264.3199157919346,144.5701041662324,372.19559458082506
2024-08-06,405.0,260.0178792347487,140.62545224287874,378.9587235722521
2024-08-07,400.0,259.2685479125197,147.02415699919024,382.29452206462776
2024-08-08,398.0,258.58804190299855,136.72248299201712,377.3205177666123
2024-08-09,402.0,266.09701946957125,147.325228506468,389.79052404219686
2024-08-12,407.0,262.3234275365373,140.1173253001299,383.0930356413283
2024-08-13,420.0,258.5116589537552,124.18233520404395,375.78315155130537
2024-08-14,420.0,258.23196907986204,136.95433836960066,382.5896304484248
2024-08-15,420.0,257.99078345545263,136.17594534410142,379.5038133966405
2024-08-16,420.0,265.899672992292,139.33942445975933,381.20483129539974
2024-08-20,419.75,259.3684819110497,137.03276613028112,374.60483546358046
2024-08-21,419.75,259.1875840814224,134.72511872833522,373.35854449458196
2024-08-22,418.0,258.97229040580993,137.04523581884473,374.3345868591878
2024-08-23,415.0,266.83302677410785,149.00096496873996,382.57337974562125
2024-08-26,399.5,263.36490609514595,146.24449658229096,389.0892421144192
2024-08-27,390.0,259.39383869543155,132.68294383771178,375.50934461045256
2024-08-28,389.75,258.8247785454366,138.6579609950128,380.23760647632986
2024-08-29,380.0,258.16806152423567,136.84602443282625,378.21083171082
2024-08-30,380.0,265.54147127819,141.26481024710128,388.91843618711187
2024-09-02,370.0,260.4202781839618,133.00948896269853,378.8101522126157
2024-09-03,364.0,255.86501383734054,142.5013105451739,381.23877639298075
2024-09-04,379.75,254.71102324895193,125.81371191974397,364.19530784489416
2024-09-05,377.0,253.47813035021974,130.95618648998456,372.66476687165317
2024-09-06,370.0,260.2933422931277,144.66043475937798,377.6818807424749
2024-09-09,364.0,253.69020602330653,136.3144756905231,376.42362731838796
2024-09-10,359.75,248.72990307092408,131.69706937800166,372.2712106087609
2024-09-11,364.0,247.22548708559995,132.0817746671566,367.06301628262224
2024-09-12,370.0,245.70131401433383,121.08057778307446,371.71025499933
